Group,EdgeType,NodeA,NodeB,AxisDistance,ExactDistance
1,PIECE_PIECE,A1-1,A12-1,9.37485680337354e-13,0
1,PIECE_PIECE,A1-2,A4-1,34.6436549215185,0
1,PIECE_PIECE,A1-2,A12-2,5.6843418860808e-14,0
1,PIECE_PIECE,A2-1,A3-1,53.7473984804563,0
1,PIECE_PIECE,A2-1,A9-1,53.7473984804568,0
1,PIECE_PIECE,A2-1,A10-1,6.82121026329696e-13,0
1,PIECE_PIECE,A2-2,A10-2,8.03887338846093e-14,0
1,PIECE_PIECE,A3-1,A9-1,1.98545526434066e-12,0
1,PIECE_PIECE,A3-1,A10-1,53.7473984804566,0
1,PIECE_PIECE,A3-2,A9-2,5.6843418860808e-14,0
1,PIECE_PIECE,A4-1,A12-2,18.1160531675026,0
1,PIECE_PIECE,A9-1,A10-1,53.7473984804571,0
1,ELECTRODE,LEFT,A1-2,NaN,0
1,ELECTRODE,LEFT,A2-2,NaN,0
1,ELECTRODE,LEFT,A3-2,NaN,0
1,ELECTRODE,LEFT,A8-2,NaN,0
1,ELECTRODE,LEFT,A9-2,NaN,0
1,ELECTRODE,LEFT,A10-2,NaN,0
1,ELECTRODE,LEFT,A12-2,NaN,0
1,ELECTRODE,A1-1,RIGHT,NaN,0
1,ELECTRODE,A2-1,RIGHT,NaN,0
1,ELECTRODE,A3-1,RIGHT,NaN,0
1,ELECTRODE,A8-1,RIGHT,NaN,0
1,ELECTRODE,A9-1,RIGHT,NaN,0
1,ELECTRODE,A10-1,RIGHT,NaN,0
1,ELECTRODE,A12-1,RIGHT,NaN,0
2,PIECE_PIECE,A1-1,A3-1,17.9442880522734,0
2,PIECE_PIECE,A1-1,A43-1,56.9633946438146,0
2,PIECE_PIECE,A1-1,A47-1,1.38430064985479e-12,0
2,PIECE_PIECE,A1-2,A47-2,1.13686837721616e-13,0
2,PIECE_PIECE,A2-1,A3-1,26.7128615061827,0
2,PIECE_PIECE,A2-1,A43-1,26.7128615061827,0
2,PIECE_PIECE,A2-1,A49-1,4.9063477552045e-13,0
2,PIECE_PIECE,A2-2,A11-2,23.4305104271871,0
2,PIECE_PIECE,A2-2,A12-1,55.8323230913113,0
2,PIECE_PIECE,A2-2,A44-2,23.4305104271887,0
2,PIECE_PIECE,A2-2,A49-2,5.123796534383e-14,0
2,PIECE_PIECE,A3-1,A34-1,58.3628222923124,0
2,PIECE_PIECE,A3-1,A43-1,6.86841643391436e-13,0
2,PIECE_PIECE,A3-2,A6-2,27.9212035368755,0
2,PIECE_PIECE,A3-2,A16-1,30.4771678908693,0
2,PIECE_PIECE,A3-2,A42-2,27.9212035368755,0
2,PIECE_PIECE,A3-2,A43-2,0,0
2,PIECE_PIECE,A4-1,A5-1,38.8426042996634,0
2,PIECE_PIECE,A4-1,A45-1,3.59790104231825e-13,0
2,PIECE_PIECE,A4-1,A46-1,38.8426042996634,0
2,PIECE_PIECE,A4-2,A5-2,29.5699198660844,0
2,PIECE_PIECE,A4-2,A45-2,0,0
2,PIECE_PIECE,A4-2,A46-2,29.5699198660844,0
2,PIECE_PIECE,A5-1,A45-1,38.8426042996634,0
2,PIECE_PIECE,A5-1,A46-1,9.80033954054231e-13,0
2,PIECE_PIECE,A5-2,A45-2,29.5699198660844,0
2,PIECE_PIECE,A5-2,A46-2,5.6843418860808e-14,0
2,PIECE_PIECE,A6-1,A42-1,1.87588665062948e-13,0
2,PIECE_PIECE,A6-2,A42-2,7.105427357601e-15,0
2,PIECE_PIECE,A6-2,A43-2,27.9212035368754,0
2,PIECE_PIECE,A7-1,A33-1,19.5693999700991,0
2,PIECE_PIECE,A7-1,A38-1,2.04048278415503e-12,0
2,PIECE_PIECE,A7-2,A38-2,0,0
2,PIECE_PIECE,A9-1,A11-1,3.73307454762755,0
2,PIECE_PIECE,A9-1,A44-1,3.73307454762819,0
2,PIECE_PIECE,A9-1,A48-1,8.47067078713407e-13,0
2,PIECE_PIECE,A9-2,A48-2,2.8421709430404e-14,0
2,PIECE_PIECE,A10-1,A24-1,49.0730002220779,0
2,PIECE_PIECE,A10-1,A39-1,2.67882150190443e-12,0
2,PIECE_PIECE,A10-2,A39-2,1.4210854715202e-14,0
2,PIECE_PIECE,A11-1,A44-1,1.1843735174135e-12,0
2,PIECE_PIECE,A11-1,A48-1,51.270386196097,0
2,PIECE_PIECE,A11-2,A12-1,26.6157494968832,0
2,PIECE_PIECE,A11-2,A44-2,2.8421709430404e-14,0
2,PIECE_PIECE,A11-2,A49-2,23.4305104271859,0
2,PIECE_PIECE,A12-1,A24-1,1.4411345697131,0
2,PIECE_PIECE,A12-1,A44-2,26.615749496883,0
2,PIECE_PIECE,A12-1,A49-2,55.8323230913091,0
2,PIECE_PIECE,A14-1,A34-1,34.9110144444014,0
2,PIECE_PIECE,A16-1,A43-2,12.5170834564984,0
2,PIECE_PIECE,A24-1,A39-1,49.073000222078,0
2,PIECE_PIECE,A26-1,A33-1,9.35898192112835,0
2,PIECE_PIECE,A33-1,A34-1,33.2951496643673,0
2,PIECE_PIECE,A33-1,A38-1,19.5693999700996,0
2,PIECE_PIECE,A34-1,A43-1,58.3628222923124,0
2,PIECE_PIECE,A42-2,A43-2,27.9212035368755,0
2,PIECE_PIECE,A44-1,A48-1,51.2703861960965,0
2,PIECE_PIECE,A44-2,A49-2,23.4305104271873,0
2,PIECE_PIECE,A45-1,A46-1,38.8426042996634,0
2,PIECE_PIECE,A45-2,A46-2,29.5699198660844,0
2,ELECTRODE,LEFT,A1-2,NaN,0
2,ELECTRODE,LEFT,A2-2,NaN,0
2,ELECTRODE,LEFT,A3-2,NaN,0
2,ELECTRODE,LEFT,A4-2,NaN,0
2,ELECTRODE,LEFT,A5-2,NaN,0
2,ELECTRODE,LEFT,A6-2,NaN,0
2,ELECTRODE,LEFT,A7-2,NaN,0
2,ELECTRODE,LEFT,A8-2,NaN,0
2,ELECTRODE,LEFT,A9-2,NaN,0
2,ELECTRODE,LEFT,A10-2,NaN,0
2,ELECTRODE,LEFT,A11-2,NaN,0
2,ELECTRODE,LEFT,A34-2,NaN,0
2,ELECTRODE,LEFT,A38-2,NaN,0
2,ELECTRODE,LEFT,A39-2,NaN,0
2,ELECTRODE,LEFT,A42-2,NaN,0
2,ELECTRODE,LEFT,A43-2,NaN,0
2,ELECTRODE,LEFT,A44-2,NaN,0
2,ELECTRODE,LEFT,A45-2,NaN,0
2,ELECTRODE,LEFT,A46-2,NaN,0
2,ELECTRODE,LEFT,A47-2,NaN,0
2,ELECTRODE,LEFT,A48-2,NaN,0
2,ELECTRODE,LEFT,A49-2,NaN,0
2,ELECTRODE,A1-1,RIGHT,NaN,0
2,ELECTRODE,A2-1,RIGHT,NaN,0
2,ELECTRODE,A3-1,RIGHT,NaN,0
2,ELECTRODE,A4-1,RIGHT,NaN,0
2,ELECTRODE,A5-1,RIGHT,NaN,0
2,ELECTRODE,A6-1,RIGHT,NaN,0
2,ELECTRODE,A7-1,RIGHT,NaN,0
2,ELECTRODE,A8-1,RIGHT,NaN,0
2,ELECTRODE,A9-1,RIGHT,NaN,0
2,ELECTRODE,A10-1,RIGHT,NaN,0
2,ELECTRODE,A11-1,RIGHT,NaN,0
2,ELECTRODE,A34-1,RIGHT,NaN,0
2,ELECTRODE,A38-1,RIGHT,NaN,0
2,ELECTRODE,A39-1,RIGHT,NaN,0
2,ELECTRODE,A42-1,RIGHT,NaN,0
2,ELECTRODE,A43-1,RIGHT,NaN,0
2,ELECTRODE,A44-1,RIGHT,NaN,0
2,ELECTRODE,A45-1,RIGHT,NaN,0
2,ELECTRODE,A46-1,RIGHT,NaN,0
2,ELECTRODE,A47-1,RIGHT,NaN,0
2,ELECTRODE,A48-1,RIGHT,NaN,0
2,ELECTRODE,A49-1,RIGHT,NaN,0
3,PIECE_PIECE,A1-2,A215-2,2.48388127474686,0
3,PIECE_PIECE,A1-2,A297-2,2.48388127475366,0
3,PIECE_PIECE,A2-1,A505-1,5.42370819033593e-12,0
3,PIECE_PIECE,A2-2,A99-2,28.3609817785021,0
3,PIECE_PIECE,A2-2,A104-2,3.50174297594829,0
3,PIECE_PIECE,A2-2,A107-1,39.5970938475744,0
3,PIECE_PIECE,A2-2,A135-2,3.50174297594773,0
3,PIECE_PIECE,A2-2,A505-2,2.27373675443232e-13,0
3,PIECE_PIECE,A2-2,A524-2,28.3609817785025,0
3,PIECE_PIECE,A4-1,A420-1,6.3664629124105e-12,0
3,PIECE_PIECE,A4-2,A420-2,4.48450985534601e-12,0
3,PIECE_PIECE,A4-3,A420-3,3.01645267459699e-12,0
3,PIECE_PIECE,A5-1,A535-1,8.5265128291212e-14,0
3,PIECE_PIECE,A5-2,A535-2,1.13686837721616e-13,0
3,PIECE_PIECE,A6-1,A485-1,1.19018771586547e-11,0
3,PIECE_PIECE,A6-2,A106-1,50.5851739741898,0
3,PIECE_PIECE,A6-2,A485-2,0,0
