Group,MediumID,ReconstructionStatus,PieceCount,OriginalStartX,OriginalStartY,OriginalStartZ,OriginalEndX,OriginalEndY,OriginalEndZ,TotalPieceLength,CrossedAxisSequence,TouchesLEFT,TouchesRIGHT,DirectElectrodePieceCount,ChargedPieceCount
1,A1,UNIQUE,2,-7514.74698018023,-527.508669386136,-576.16978737989,-2588.09423943591,263.800242732266,-256.916004757901,5000,X,1,1,2,2
1,A2,UNIQUE,2,-7669.26746487694,75.6211298477729,-262.64252357348,-2697.57508248102,420.228820486022,141.734026660795,5000,X,1,1,2,2
1,A3,UNIQUE,2,-8933.0358623267,105.066056981,-242.602515764392,-3939.15969626586,318.937665072886,-118.26517904821,5000,X,1,1,2,2
1,A4,UNIQUE,1,-4192.3186063671,261.813019412782,-199.977019550071,806.624526775099,321.530792400596,-283.651025070759,5000.00000000001,NONE,0,0,0,1
1,A5,UNIQUE,1,-2777.97743793496,-159.004834417892,-249.729794262883,2215.33209763938,97.7058633389306,-280.705584803122,5000,NONE,0,0,0,0
1,A6,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
1,A7,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
1,A8,UNIQUE,2,577.038075568308,-500,-306.636481677966,5576.64289084053,-468.709098793001,-252.115195849156,5000,X,1,1,2,2
1,A9,UNIQUE,2,1066.9641376733,105.066056981001,-242.602515764394,6060.84030373414,318.937665072886,-118.26517904821,5000,X,1,1,2,2
1,A10,UNIQUE,2,2330.73253512306,75.6211298477722,-262.64252357348,7302.42491751898,420.228820486022,141.734026660795,5000,X,1,1,2,2
1,A11,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
1,A12,UNIQUE,2,3660.68808804375,-338.712686789317,-500,8587.34082878807,452.596225329087,-180.746217378014,5000,X,1,1,2,2
2,A1,UNIQUE,2,-8451.63794343944,-590.62216203489,252.833230701372,-3512.12594512394,-404.979103320158,-500,5000,X,1,1,2,2
2,A2,UNIQUE,2,-5759.45994359387,-268.781254298442,150.427922936673,-826.711283177028,226.126989945019,-500,5000,X,1,1,2,2
2,A3,UNIQUE,2,-8109.99496107919,-648.469093654031,48.4670910637463,-3181.83808795686,151.850100006258,318.205894642448,5000,X,1,1,2,2
2,A4,UNIQUE,2,-6913.85908644009,-119.195940929907,-324.340629772121,-1929.53238410003,108.400845346282,-0.786882742922217,5000,X,1,1,2,2
2,A5,UNIQUE,2,-6955.54249614789,288.172608706274,-62.6130768044481,-2024.41608957997,-500,-313.165070078707,5000,X,1,1,2,2
2,A6,UNIQUE,2,-7322.16963646283,35.3271229399665,268.103692349086,-2323.38920016757,-71.012294660458,297.870754283097,5000,X,1,1,2,2
2,A7,UNIQUE,2,-8429.97102577644,285.388425939954,66.2105465060162,-3449.63264509039,-144.842051888255,171.715758761894,5000,X,1,1,2,2
2,A8,UNIQUE,2,-9153.5551509294,349.017421057368,-177.861668869039,-4173.94384524883,33.2672984059111,-500,5000,X,1,1,2,2
2,A9,UNIQUE,2,-8019.03517775782,532.248719292468,145.814521648708,-3079.42375967721,104.273670959877,-500,5000,X,1,1,2,2
2,A10,UNIQUE,2,-8120.60302705075,314.745567026609,-55.6435126372188,-3128.15310165583,291.66119757681,218.054960707695,5000,X,1,1,2,2
2,A11,UNIQUE,2,-6938.54445731346,430.74380997312,-6.82452456142585,-1958.79173514694,114.169942843126,-325.954298674494,5000,X,1,1,2,2
2,A12,UNIQUE,1,-4850.28126750738,82.5010658474648,-222.18011252894,147.723911234192,170.890609581654,-332.323300384175,5000,NONE,0,0,0,1
2,A13,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A14,UNIQUE,1,-4320.97782889831,-411.653921511031,368.315645023836,669.713064161411,-154.034754426643,205.10787964038,5000,NONE,0,0,0,1
2,A15,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A16,UNIQUE,1,-3571.27624542796,181.81815690851,361.831173792362,1420.41208784988,34.5184054987683,114.141112117339,5000,NONE,0,0,0,1
2,A17,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A18,UNIQUE,1,-3511.51171165783,-474.333842855282,-463.533330394968,1481.8651122767,-242.86501776371,-351.238730327768,5000,NONE,0,0,0,0
2,A19,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A20,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A21,UNIQUE,1,-2678.97911623744,295.087071499692,-78.7997608836554,2315.72959335963,490.579233198023,-199.910127862549,5000.00000000001,NONE,0,0,0,0
2,A22,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A23,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A24,UNIQUE,1,-1977.25732408147,66.8052381259813,-477.030271691909,2995.23503720289,342.918909852125,-31.9674028131336,5000,NONE,0,0,0,1
2,A25,UNIQUE,1,-1838.56689459812,294.257902005536,-367.771364687737,3100.77004810686,216.528673349028,404.82732379311,5000,NONE,0,0,0,0
2,A26,UNIQUE,1,-1779.52317608205,-232.026520024825,339.790039270438,3220.45837798502,-243.703331153308,346.726253723034,5000,NONE,0,0,0,1
2,A27,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A28,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A29,UNIQUE,1,-1028.3713146442,-236.936150294581,-334.043480856211,3965.06458500721,-14.6318438933278,-206.847917144566,4999.99999999999,NONE,0,0,0,0
2,A30,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A31,UNIQUE,1,-568.823774163553,-394.401820150427,-168.577848702974,4417.58197113286,-166.578870825741,120.998474631548,5000,NONE,0,0,0,0
2,A32,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A33,UNIQUE,1,-134.813541478156,-364.233142148315,427.977499036112,4824.09874614606,143.9163178571,39.4249930014681,5000,NONE,0,0,0,1
2,A34,UNIQUE,2,74.4923033113464,-195.552670819329,257.81445243288,5074.48681683039,-202.353389003721,260.749586441446,5000,X,1,1,2,2
2,A35,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A36,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A37,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A38,UNIQUE,2,1570.02897422356,285.388425939953,66.2105465060182,6550.36735490961,-144.842051888255,171.715758761893,5000,X,1,1,2,2
2,A39,UNIQUE,2,1879.39697294925,314.745567026607,-55.6435126372199,6871.84689834417,291.661197576811,218.054960707696,5000,X,1,1,2,2
2,A40,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A41,UNRESOLVED,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
2,A42,UNIQUE,2,2677.83036353717,35.3271229399666,268.103692349086,7676.61079983243,-71.0122946604581,297.870754283097,5000,X,1,1,2,2
2,A43,UNIQUE,2,2804.23899723811,-500,98.5069701618498,7732.39587036044,300.31919366029,368.245773740552,5000,X,1,1,2,2
2,A44,UNIQUE,2,3061.45554268653,430.743809973119,-6.82452456142613,8041.20826485305,114.169942843128,-325.954298674493,5000,X,1,1,2,2
2,A45,UNIQUE,2,3086.14091355992,-119.195940929906,-324.34062977212,8070.46761589998,108.400845346282,-0.786882742921591,5000,X,1,1,2,2
2,A46,UNIQUE,2,3092.13444207282,280.552107085691,-65.0355561569352,8023.26084864074,-507.620501620581,-315.587549431193,5000,X,1,1,2,2
2,A47,UNIQUE,2,3959.59822010861,-500,-114.664350356616,8899.11021842411,-314.356941285264,-867.497581057993,5000,X,1,1,2,2
2,A48,UNIQUE,2,3977.58135981847,359.25898652865,-115.227055308326,8917.19277789908,-68.7160618039371,-761.041576957033,5000,X,1,1,2,2
2,A49,UNIQUE,2,4430.2932292045,-249.743104160598,125.407235577456,9363.04188962134,245.165140082868,-525.020687359217,5000,X,1,1,2,2
3,A1,UNIQUE,2,-5119.7502408185,-4877.43388806041,2520.58924842467,-337.119122805609,-4694.65516508342,3967.32057366848,5000,X,1,1,2,2
3,A2,UNIQUE,2,-6034.66440059518,-4944.15626562438,-316.987420275034,-2499.66714527227,-4677.41226432862,-3842.98260498987,5000,X,1,1,2,2
3,A3,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A4,UNIQUE,3,-8322.87206415158,-5531.15487574788,1611.97860567497,-3605.47101992416,-4152.45454528847,692.569672330724,5000,Y>X,1,1,2,3
3,A5,UNIQUE,2,-5328.43298613041,-4610.19129894059,59.5967397559424,-2483.39752786214,-4066.21125355775,-4015.92273037563,5000,X,1,1,2,2
3,A6,UNIQUE,2,-6557.69750778923,-4498.08055405592,3039.0523260015,-1558.37167667412,-4567.34509022482,2994.96538491327,5000,X,1,1,2,2
3,A7,UNIQUE,2,-7480.57516863928,-4562.50005729551,701.261118186282,-2524.18638177167,-4309.12018384298,92.9776044016462,5000,X,1,1,2,2
3,A8,UNIQUE,2,-7485.47437372652,-4260.34208156522,-2304.59192919242,-2520.22920639355,-4593.9107173629,-2789.43457736672,5000,X,1,1,2,2
3,A9,UNIQUE,3,-6092.752250677,-5948.31105281666,-4381.70758343812,-3485.9825070119,-1935.54048003478,-2931.73384790774,5000,Y>X,1,1,2,3
3,A10,UNIQUE,2,-5642.48288923202,-4345.88343765613,1246.1786196431,-759.049103205538,-3308.26191366606,1520.79841217019,5000,X,1,1,2,2
3,A11,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A12,UNIQUE,3,-7778.54547893462,-3691.2417493783,5196.66973964978,-3052.51274483836,-4340.69143386373,3699.06174568995,5000,Z>X,1,1,2,3
3,A13,UNIQUE,2,-5453.62257371063,-3956.33374593534,1118.95031819287,-646.677960123347,-4404.32707824943,2419.94434435375,5000,X,1,1,2,2
3,A14,UNIQUE,2,-6487.12407589988,-3908.89270220084,833.536155343552,-1497.00732366556,-3996.37334061972,1135.33399657542,5000,X,1,1,2,2
3,A15,UNIQUE,2,-8804.62101200746,-3347.19192764942,-4035.17894862001,-4270.0171209558,-3898.40520002173,-2002.07012722856,5000,X,1,1,2,2
3,A16,UNIQUE,2,-7427.26396874057,-3554.92440223894,3045.22702639136,-2576.92489156017,-3456.76012690378,1835.03092185925,5000,X,1,1,2,2
3,A17,UNIQUE,2,-8675.72172827145,-4469.59705159465,4630.74058319827,-4102.34949606856,-2841.41616101726,3433.53825557183,5000,X,1,1,2,2
3,A18,UNIQUE,2,-7302.53214933889,-338.839092535155,1065.68879817128,-4040.0246999422,-3964.39042857365,-34.9576720364012,5000,X,1,1,2,2
3,A19,UNIQUE,3,-6991.79517712893,-5656.5587290294,-1074.47554257817,-4573.14946376295,-2163.19389376176,-3710.10735315639,5000,Y>X,1,1,2,3
3,A20,UNIQUE,2,-7713.05490052306,-1448.60950391369,1283.25446944978,-3419.62099703407,-3553.43041143183,2744.81331658726,5000,X,1,1,2,2
3,A21,UNIQUE,2,-6788.65712040849,-2934.55467460004,-1233.640012785,-1842.85902237545,-2262.68910855129,-937.535580783762,5000,X,1,1,2,2
3,A22,UNIQUE,2,-6650.92957248635,-1449.86954706891,1910.41866420061,-2957.09873840603,-4028.25170916487,4080.1097010496,5000,X,1,1,2,2
3,A23,UNIQUE,2,-5717.12861181137,-1914.2426538574,-120.190611144001,-3403.74489856223,-4013.07197165803,-4024.44102447742,5000,X,1,1,2,2
3,A24,UNIQUE,2,-5472.51478078056,-3051.06585963938,-3566.15000961059,-3477.9024015447,-539.990915338504,269.997026244971,5000,X,1,1,2,2
3,A25,UNIQUE,2,-5709.12319512214,-1961.10631399334,-4070.08071759942,-3051.86907793065,-3726.31167480155,-220.009212959164,5000,X,1,1,2,2
3,A26,UNIQUE,2,-5453.93427541205,-2333.10564612701,1439.41223578663,-1136.48576879498,-3251.23992689051,-909.346550295275,5000,X,1,1,2,2
3,A27,UNIQUE,2,-7260.99489663987,-930.100019087664,-1850.99938562975,-3064.99376678937,-3445.2491194506,-817.752309061515,5000,X,1,1,2,2
3,A28,UNIQUE,2,-5883.99784397859,-2323.41298522059,2932.9824985829,-1296.39293705433,-544.587260835758,3821.61080121073,5000,X,1,1,2,2
3,A29,UNIQUE,2,-6058.02143002854,-2592.15662376051,4508.83742012003,-1952.21256355269,148.897971568059,3715.77168678109,5000,X,1,1,2,2
3,A30,UNIQUE,2,-9041.20796233372,-879.348926666654,-4810.58496730685,-4193.73371013477,-2022.79385410491,-4369.53273436392,5000,X,1,1,2,2
3,A31,UNIQUE,2,-5527.62453100125,-1620.35756654936,-1336.03639488305,-3995.73616419977,-2209.34600138377,3386.92990346057,5000,X,1,1,2,2
3,A32,UNIQUE,2,-5978.59993946937,-1357.76387813388,2505.56433286008,-1386.52055894232,-3296.09996253492,2900.10227380758,5000,X,1,1,2,2
3,A33,UNIQUE,2,-6470.47697297513,-1770.42110056799,-1042.75460219955,-1780.69058860293,-1643.08063301096,-2771.82605077521,5000,X,1,1,2,2
3,A34,UNIQUE,2,-6033.40012484487,-1723.44607031509,1110.01620415164,-1037.62963183377,-1563.14982673259,981.243942181346,5000,X,1,1,2,2
3,A35,UNIQUE,2,-6618.14457213507,-2559.68555181577,-734.93467313441,-2354.47254035077,51.3673451435429,-675.743671616226,5000,X,1,1,2,2
3,A36,UNIQUE,2,-5515.7806928964,-1361.26582898101,2855.42176825384,-2413.6764685915,-2347.43049850611,-939.89490181865,5000,X,1,1,2,2
3,A37,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A38,UNIQUE,2,-8163.2137965135,1880.89202961122,3275.34317478256,-4599.65698133606,-1583.8638820847,2730.79813773728,5000,X,1,1,2,2
3,A39,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A40,UNIQUE,2,-7460.30859986854,-1371.64340868336,2509.40607726431,-3038.77279122151,-908.420118048348,4797.51561919305,5000,X,1,1,2,2
3,A41,UNIQUE,2,-5796.26722387823,-1221.95108410428,-3535.95774239944,-859.593581892434,-464.39271979464,-3300.67349476013,5000,X,1,1,2,2
3,A42,UNIQUE,2,-8580.06616719511,-2237.29236449687,-3963.72843475645,-3841.2940835211,-642.904872072403,-3919.37008726385,5000,X,1,1,2,2
3,A43,UNIQUE,2,-8353.4218941714,-493.065215503684,477.228413794833,-3464.03861965299,-1273.96671209501,-218.561818589242,5000,X,1,1,2,2
3,A44,UNIQUE,3,-8237.87098457833,-1726.8632933773,5373.96463449328,-4188.73500491925,-770.048269359104,2601.05951025203,5000,Z>X,1,1,2,3
3,A45,UNIQUE,2,-7241.11142302339,-704.783373269199,-1028.25735121264,-2327.24705257705,-763.909003116404,-1950.45099072288,5000,X,1,1,2,2
3,A46,UNIQUE,2,-8609.92690992662,650.083027888508,1952.36995680638,-3941.26413545687,-1135.38813308892,1827.14762813308,5000,X,1,1,2,2
3,A47,UNIQUE,2,-8391.37254664874,213.044832449732,2413.27886626428,-3516.89101459389,-899.92465203099,2440.27368559865,5000,X,1,1,2,2
3,A48,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A49,UNIQUE,2,-5008.42542479918,-472.086118532311,-1278.82993245206,-673.118996697684,-2802.85269639203,-2157.83239774665,5000,X,1,1,2,2
3,A50,UNIQUE,2,-6165.37706344597,-506.295200470953,2125.67594923217,-1347.73176400929,-169.264629335002,3420.55206799234,5000,X,1,1,2,2
3,A51,UNIQUE,2,-7038.40663166911,2963.392879765,931.959038464291,-4379.75247074549,-1271.17341410157,934.480040778632,5000,X,1,1,2,2
3,A52,UNIQUE,2,-5332.97631947522,-311.562106379373,3464.80199746974,-463.63770658839,124.771338411342,4513.20773858641,5000,X,1,1,2,2
3,A53,UNIQUE,2,-6128.37508129907,844.908496831237,-4276.14084971973,-2688.10956364959,-2232.55516649171,-2354.21718604344,5000,X,1,1,2,2
3,A54,UNIQUE,2,-7636.49077427042,12.1807173140578,-3788.92078205069,-2660.91141296876,-61.3227277094073,-3300.85596774969,5000,X,1,1,2,2
3,A55,UNIQUE,2,-6667.73402243825,-711.651708220178,-977.579563814855,-2248.85280868866,1511.80528368367,-1705.40359744172,5000,X,1,1,2,2
3,A56,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A57,UNIQUE,2,-6111.25448927516,-31.3664051409532,1617.80884706798,-1243.59092220063,1068.96624807133,1309.39443422368,5000,X,1,1,2,2
3,A58,UNIQUE,2,-8159.6892267564,419.667746797315,-187.62864204453,-3168.03348944253,304.854789176287,-452.564454844165,5000,X,1,1,2,2
3,A59,UNIQUE,2,-6135.71479726242,319.864290043192,-282.432451387935,-1191.75117865526,518.842460481699,-1001.89852117701,5000,X,1,1,2,2
3,A60,UNIQUE,2,-5493.31076386729,-883.760623992503,39.3922598071502,-3939.3627919814,3784.94787024668,-848.530426292623,5000,X,1,1,2,2
3,A61,UNIQUE,2,-6002.66994460483,936.385010562742,3995.20101820592,-1140.56253982493,30.9393602218937,3260.29982847812,5000,X,1,1,2,2
3,A62,UNIQUE,2,-7314.30630950978,1007.78727821895,1133.76916204769,-2314.34446694224,992.637982139226,1146.10089740263,5000,X,1,1,2,2
3,A63,UNIQUE,2,-5006.38243805304,1003.56486866728,-3285.52913673929,-68.3151146029868,637.107139705193,-3979.21483066616,5000,X,1,1,2,2
3,A64,UNIQUE,3,-5780.11990132241,598.3532223583,-5218.21873367755,-1712.1759605972,2828.3771307533,-3353.05775855939,5000,Z>X,1,1,2,3
3,A65,UNIQUE,2,-6291.18036038046,73.4954595251478,2118.95903323431,-2378.37015958896,3020.94096491727,1117.71913924,5000,X,1,1,2,2
3,A66,UNIQUE,2,-7706.96101336831,3878.20935848707,1496.82686801208,-4278.74995388142,479.023569555252,2797.94365905574,5000,X,1,1,2,2
3,A67,UNIQUE,2,-5157.53510171841,1189.23628512208,-4552.89507062527,-1321.90725800691,3096.10853520288,-1973.78722751036,5000,X,1,1,2,2
3,A68,UNIQUE,2,-5792.4054780267,2069.91400679435,467.110873810386,-1426.58171239957,-365.593857143029,378.317336970383,5000,X,1,1,2,2
3,A69,UNIQUE,2,-9255.47616518555,1840.10995910312,-1515.10522800037,-4303.035218537,1847.3209924815,-827.154160731464,5000,X,1,1,2,2
3,A70,UNIQUE,2,-5700.20103219462,1349.80283907628,1835.79803419742,-2619.29098444703,4561.01415799683,4115.29691397877,5000,X,1,1,2,2
3,A71,UNIQUE,2,-6745.80600475513,1204.43391370057,-3055.72089647053,-2625.59151327081,3326.08016801863,-1178.90185466049,5000,X,1,1,2,2
3,A72,UNIQUE,2,-6490.39101327038,2590.92582646437,-3055.11953957642,-2038.66394048171,1713.47815093003,-954.593023176349,5000,X,1,1,2,2
3,A73,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A74,UNIQUE,2,-8987.05074681052,3316.58486137682,-3012.16634408452,-4360.93868271287,2198.50476408577,-4544.80591895259,5000,X,1,1,2,2
3,A75,UNIQUE,2,-5806.35548357729,2188.20628558915,846.644790812001,-2642.21389292369,3910.39189723333,4313.9614353286,5000,X,1,1,2,2
3,A76,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A77,UNIQUE,2,-5678.35745007737,2847.06674126332,401.469916902103,-685.553343817277,2637.72908546581,233.884409242303,5000,X,1,1,2,2
3,A78,UNIQUE,2,-8965.2921707139,3820.47445882235,3290.55746507902,-4106.5715338784,2850.17217161023,3962.38128470717,5000,X,1,1,2,2
3,A79,UNIQUE,2,-6127.83749999956,4296.49481642619,2348.90129974546,-2603.65870441669,1039.7209558079,944.056882182582,5000,X,1,1,2,2
3,A80,UNIQUE,3,-7837.01188118525,825.498980122529,5060.12679389344,-4482.53829449633,3883.67840956613,2963.6904047954,5000,Z>X,1,1,2,3
3,A81,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
3,A82,UNIQUE,2,-7339.79774002756,167.983263353901,-2854.89884709209,-4546.36479139988,4224.19290758382,-1992.40497257619,5000,X,1,1,2,2
3,A83,UNIQUE,2,-7270.65280103613,4049.13681900675,956.225516721767,-2587.39716625327,3249.44185661583,-601.851704214715,5000,X,1,1,2,2
3,A84,UNIQUE,2,-5882.11384255241,3795.58849197618,-3708.8664967722,-1042.20617861071,3853.29927026519,-4962.64609087465,5000,X,1,1,2,2
3,A85,AMBIGUOUS,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NOT_RECONSTRUCTED,0,0,0,0
