Group,MediumID,ExplicitPhysicalCandidateCount,RelativePhysicalCandidateCount,SameGeometrySet,Pass
1,A1,0,0,1,1
1,A2,0,0,1,1
1,A3,0,0,1,1
1,A4,1,1,1,1
1,A5,1,1,1,1
1,A6,0,0,1,1
1,A7,0,0,1,1
1,A8,0,0,1,1
1,A9,0,0,1,1
1,A10,0,0,1,1
1,A11,0,0,1,1
1,A12,0,0,1,1
2,A1,0,0,1,1
2,A2,0,0,1,1
2,A3,0,0,1,1
2,A4,0,0,1,1
2,A5,0,0,1,1
2,A6,0,0,1,1
2,A7,0,0,1,1
2,A8,0,0,1,1
2,A9,0,0,1,1
2,A10,0,0,1,1
2,A11,0,0,1,1
2,A12,1,1,1,1
2,A13,0,0,1,1
2,A14,1,1,1,1
2,A15,0,0,1,1
2,A16,1,1,1,1
2,A17,0,0,1,1
2,A18,1,1,1,1
2,A19,0,0,1,1
2,A20,0,0,1,1
2,A21,1,1,1,1
2,A22,0,0,1,1
2,A23,0,0,1,1
2,A24,1,1,1,1
2,A25,1,1,1,1
2,A26,1,1,1,1
2,A27,0,0,1,1
2,A28,0,0,1,1
2,A29,1,1,1,1
2,A30,0,0,1,1
2,A31,1,1,1,1
2,A32,0,0,1,1
2,A33,1,1,1,1
2,A34,0,0,1,1
2,A35,0,0,1,1
2,A36,0,0,1,1
2,A37,0,0,1,1
2,A38,0,0,1,1
2,A39,0,0,1,1
2,A40,0,0,1,1
2,A41,0,0,1,1
2,A42,0,0,1,1
2,A43,0,0,1,1
2,A44,0,0,1,1
2,A45,0,0,1,1
2,A46,0,0,1,1
2,A47,0,0,1,1
2,A48,0,0,1,1
2,A49,0,0,1,1
3,A1,0,0,1,1
3,A2,0,0,1,1
3,A3,0,0,1,1
3,A4,0,0,1,1
3,A5,0,0,1,1
3,A6,0,0,1,1
3,A7,0,0,1,1
3,A8,0,0,1,1
3,A9,0,0,1,1
3,A10,0,0,1,1
3,A11,0,0,1,1
3,A12,0,0,1,1
3,A13,0,0,1,1
3,A14,0,0,1,1
3,A15,0,0,1,1
3,A16,0,0,1,1
