Group,MediumID,ExcelRow,RawLength,Explicit729ValidCount,Relative27ValidCount,PhysicalCandidateCount,Status,SelectedKx,SelectedKy,SelectedKz,UnwrappedLength,PieceCount,BoundaryEventSequence,MaxConsistencyError,NearestKx,NearestKy,NearestKz,NearestLengthError
1,A1,3,2447.81384794709,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-2552.18615205291
1,A2,4,2315.53436981696,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-2684.46563018304
1,A3,5,1062.14117897414,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3937.85882102586
1,A4,6,5000.00000000001,27,1,1,UNIQUE,0,0,0,5000,1,NONE,2.27373675443232e-13,0,0,0,4.54747350886464e-12
1,A5,7,5000,27,1,1,UNIQUE,0,0,0,5000,1,NONE,4.54747350886464e-13,0,0,0,2.72848410531878e-12
1,A6,8,1419.64670679088,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3580.35329320912
1,A7,9,3580.35329320912,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1419.64670679088
1,A8,10,4423.31152946422,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-576.688470535782
1,A9,11,3937.85882102586,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1062.14117897414
1,A10,12,2684.46563018304,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-2315.53436981696
1,A11,13,1019.11725459342,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3980.88274540658
1,A12,14,1359.25138469766,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3640.74861530234
2,A1,3,1506.09418033954,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3493.90581966046
2,A2,4,4230.18584984047,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-769.814150159529
2,A3,5,1844.66724462366,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3155.33275537634
2,A4,6,3080.12275204436,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1919.87724795564
2,A5,7,3017.14422333278,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1982.85577666722
2,A6,8,2677.26381858866,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-2322.73618141134
2,A7,9,1556.48796969499,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3443.51203030501
2,A8,10,829.438387900712,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-4170.56161209929
2,A9,11,1944.05599729246,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3055.94400270754
2,A10,12,1874.6776896276,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3125.3223103724
2,A11,13,3053.57357536614,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1946.42642463386
2,A12,14,5000,27,1,1,UNIQUE,0,0,0,5000,1,NONE,1.98951966012828e-13,0,0,0,2.72848410531878e-12
2,A13,15,2967.30063640691,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-2032.69936359309
2,A14,16,5000,27,1,1,UNIQUE,0,0,0,4999.99999999999,1,NONE,2.27373675443232e-13,0,0,0,-5.45696821063757e-12
2,A15,17,3716.89680479572,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-1283.10319520429
2,A16,18,5000,27,1,1,UNIQUE,0,0,0,5000,1,NONE,2.27373675443232e-13,0,0,0,4.54747350886464e-12
2,A17,19,1102.18149257544,0,0,0,UNRESOLVED,NaN,NaN,NaN,NaN,0,NOT_UNIQUE,NaN,0,0,0,-3897.81850742456
