Group,MediumID,ExcelRow,EndpointStatus,PieceCount,TotalPieceLength,BoundaryEventSequence
1,A1,3,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A2,4,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A3,5,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A4,6,UNIQUE,1,5000.00000000001,NONE
1,A5,7,UNIQUE,1,5000,NONE
1,A6,8,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A7,9,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A8,10,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A9,11,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A10,12,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A11,13,UNRESOLVED,0,NaN,NOT_UNIQUE
1,A12,14,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A1,3,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A2,4,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A3,5,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A4,6,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A5,7,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A6,8,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A7,9,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A8,10,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A9,11,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A10,12,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A11,13,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A12,14,UNIQUE,1,5000,NONE
2,A13,15,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A14,16,UNIQUE,1,5000,NONE
2,A15,17,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A16,18,UNIQUE,1,5000,NONE
2,A17,19,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A18,20,UNIQUE,1,5000,NONE
2,A19,21,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A20,22,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A21,23,UNIQUE,1,5000.00000000001,NONE
2,A22,24,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A23,25,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A24,26,UNIQUE,1,5000,NONE
2,A25,27,UNIQUE,1,5000,NONE
2,A26,28,UNIQUE,1,5000,NONE
2,A27,29,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A28,30,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A29,31,UNIQUE,1,4999.99999999999,NONE
2,A30,32,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A31,33,UNIQUE,1,5000,NONE
2,A32,34,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A33,35,UNIQUE,1,5000,NONE
2,A34,36,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A35,37,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A36,38,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A37,39,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A38,40,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A39,41,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A40,42,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A41,43,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A42,44,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A43,45,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A44,46,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A45,47,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A46,48,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A47,49,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A48,50,UNRESOLVED,0,NaN,NOT_UNIQUE
2,A49,51,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A1,3,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A2,4,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A3,5,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A4,6,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A5,7,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A6,8,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A7,9,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A8,10,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A9,11,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A10,12,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A11,13,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A12,14,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A13,15,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A14,16,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A15,17,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A16,18,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A17,19,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A18,20,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A19,21,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A20,22,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A21,23,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A22,24,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A23,25,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A24,26,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A25,27,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A26,28,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A27,29,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A28,30,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A29,31,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A30,32,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A31,33,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A32,34,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A33,35,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A34,36,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A35,37,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A36,38,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A37,39,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A38,40,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A39,41,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A40,42,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A41,43,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A42,44,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A43,45,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A44,46,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A45,47,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A46,48,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A47,49,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A48,50,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A49,51,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A50,52,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A51,53,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A52,54,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A53,55,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A54,56,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A55,57,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A56,58,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A57,59,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A58,60,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A59,61,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A60,62,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A61,63,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A62,64,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A63,65,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A64,66,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A65,67,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A66,68,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A67,69,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A68,70,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A69,71,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A70,72,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A71,73,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A72,74,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A73,75,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A74,76,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A75,77,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A76,78,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A77,79,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A78,80,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A79,81,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A80,82,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A81,83,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A82,84,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A83,85,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A84,86,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A85,87,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A86,88,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A87,89,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A88,90,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A89,91,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A90,92,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A91,93,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A92,94,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A93,95,UNIQUE,1,5000,NONE
3,A94,96,UNIQUE,1,5000,NONE
3,A95,97,UNIQUE,1,5000,NONE
3,A96,98,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A97,99,UNIQUE,1,5000,NONE
3,A98,100,UNIQUE,1,5000,NONE
3,A99,101,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A100,102,UNIQUE,1,4999.99999999999,NONE
3,A101,103,UNIQUE,1,5000,NONE
3,A102,104,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A103,105,UNIQUE,1,5000,NONE
3,A104,106,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A105,107,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A106,108,UNIQUE,1,5000,NONE
3,A107,109,UNIQUE,1,5000,NONE
3,A108,110,UNIQUE,1,5000,NONE
3,A109,111,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A110,112,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A111,113,UNIQUE,1,5000,NONE
3,A112,114,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A113,115,UNIQUE,1,5000,NONE
3,A114,116,UNIQUE,1,5000.00000000001,NONE
3,A115,117,UNIQUE,1,5000,NONE
3,A116,118,UNIQUE,1,5000,NONE
3,A117,119,UNIQUE,1,5000,NONE
3,A118,120,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A119,121,UNIQUE,1,5000,NONE
3,A120,122,UNIQUE,1,5000,NONE
3,A121,123,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A122,124,UNIQUE,1,5000,NONE
3,A123,125,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A124,126,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A125,127,UNIQUE,1,5000,NONE
3,A126,128,UNIQUE,1,5000,NONE
3,A127,129,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A128,130,UNIQUE,1,5000,NONE
3,A129,131,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A130,132,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A131,133,UNIQUE,1,5000,NONE
3,A132,134,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A133,135,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A134,136,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A135,137,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A136,138,UNIQUE,1,5000,NONE
3,A137,139,UNIQUE,1,5000,NONE
3,A138,140,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A139,141,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A140,142,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A141,143,UNIQUE,1,5000,NONE
3,A142,144,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A143,145,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A144,146,UNIQUE,1,5000,NONE
3,A145,147,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A146,148,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A147,149,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A148,150,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A149,151,UNIQUE,1,5000,NONE
3,A150,152,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A151,153,UNIQUE,1,5000,NONE
3,A152,154,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A153,155,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A154,156,UNIQUE,1,5000,NONE
3,A155,157,UNIQUE,1,5000,NONE
3,A156,158,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A157,159,UNIQUE,1,5000,NONE
3,A158,160,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A159,161,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A160,162,UNIQUE,1,5000,NONE
3,A161,163,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A162,164,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A163,165,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A164,166,UNIQUE,1,5000,NONE
3,A165,167,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A166,168,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A167,169,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A168,170,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A169,171,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A170,172,UNIQUE,1,4999.99999999999,NONE
3,A171,173,UNIQUE,1,4999.99999999999,NONE
3,A172,174,UNIQUE,1,5000,NONE
3,A173,175,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A174,176,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A175,177,UNIQUE,1,5000,NONE
3,A176,178,UNIQUE,1,5000,NONE
3,A177,179,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A178,180,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A179,181,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A180,182,UNIQUE,1,5000,NONE
3,A181,183,UNIQUE,1,5000,NONE
3,A182,184,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A183,185,UNIQUE,1,5000,NONE
3,A184,186,UNIQUE,1,4999.99999999999,NONE
