Group,MediumID,kx,ky,kz,CandidateLength,LengthError,Valid
1,A1,-1,-1,-1,15712.4114778771,10712.4114778771,0
1,A1,-1,-1,0,12247.684261548,7247.68426154799,0
1,A1,-1,-1,1,15910.1120389209,10910.1120389209,0
1,A1,-1,0,-1,12434.9419822721,7434.94198227211,0
1,A1,-1,0,0,7599.58402959792,2599.58402959792,0
1,A1,-1,0,1,12683.8311540073,7683.8311540073,0
1,A1,-1,1,-1,16198.014994277,11198.014994277,0
1,A1,-1,1,0,12864.7419358209,7864.74193582092,0
1,A1,-1,1,1,16389.8590718687,11389.8590718687,0
1,A1,0,-1,-1,13968.4641124716,8968.46411247155,0
1,A1,0,-1,0,9911.80533413828,4911.80533413828,0
1,A1,0,-1,1,14190.4820320628,9190.48203206285,0
1,A1,0,0,-1,10142.2826480904,5142.28264809038,0
1,A1,0,0,0,2447.81384794709,-2552.18615205291,0
1,A1,0,0,1,10445.941219184,5445.94121918403,0
1,A1,0,1,-1,14512.5395767283,9512.53957672828,0
1,A1,0,1,0,10664.8816349058,5664.8816349058,0
1,A1,0,1,1,14726.3571736868,9726.35717368683,0
1,A1,1,-1,-1,18529.8706113315,13529.8706113315,0
1,A1,1,-1,0,15699.7452270135,10699.7452270135,0
1,A1,1,-1,1,18697.8045640011,13697.8045640011,0
1,A1,1,0,-1,15846.2617839362,10846.2617839362,0
1,A1,1,0,0,12418.9334423486,7418.93344234856,0
1,A1,1,0,1,16042.3128995145,11042.3128995145,0
1,A1,1,1,-1,18943.3872413934,13943.3872413934,0
1,A1,1,1,0,16185.7287601712,11185.7287601712,0
1,A1,1,1,1,19107.6872179309,14107.6872179309,0
1,A2,-1,-1,-1,15886.3465296039,10886.3465296039,0
1,A2,-1,-1,0,12494.8548315024,7494.85483150243,0
1,A2,-1,-1,1,16120.3842529259,11120.3842529259,0
1,A2,-1,0,-1,12472.6825448964,7472.68254489635,0
1,A2,-1,0,0,7701.50641546341,2701.50641546341,0
1,A2,-1,0,1,12769.4397789835,7769.43977898349,0
1,A2,-1,1,-1,16086.0067659089,11086.0067659089,0
1,A2,-1,1,0,12747.7450898003,7747.74508980033,0
1,A2,-1,1,1,16317.1810088689,11317.1810088689,0
