Group,MediumID,CandidateIndex,Hypothesis,OriginalStartX,OriginalStartY,OriginalStartZ,OriginalEndX,OriginalEndY,OriginalEndZ,Valid,MatchedPieceIndex
1,A1,1,A_EXTEND_AFTER_P2,-5000,-123.595139885209,-413.21077078022,-73.3472592556782,667.713772233193,-93.9569881582313,0,0
1,A1,2,B_EXTEND_BEFORE_P1,-7514.74698018023,-527.508669386136,-576.16978737989,-2588.09423943591,263.800242732266,-256.916004757901,1,2
1,A2,1,A_EXTEND_AFTER_P2,-5000,260.638630130799,-45.5355334223004,-28.3076176040818,605.246320769048,358.841016811975,0,0
1,A2,2,B_EXTEND_BEFORE_P1,-7669.26746487694,75.6211298477729,-262.64252357348,-2697.57508248102,420.228820486022,141.734026660795,1,2
1,A3,1,A_EXTEND_AFTER_P2,-5000,273.505296679324,-144.677940130256,-6.12383393915889,487.37690477121,-20.3406034140737,0,0
1,A3,2,B_EXTEND_BEFORE_P1,-8933.0358623267,105.066056981,-242.602515764392,-3939.15969626586,318.937665072886,-118.26517904821,1,2
1,A4,1,DIRECT,-4192.3186063671,261.813019412782,-199.977019550071,806.624526775099,321.530792400596,-283.651025070759,1,1
1,A5,1,DIRECT,-2777.97743793496,-159.004834417892,-249.729794262883,2215.33209763938,97.7058633389306,-280.705584803122,1,1
1,A6,1,A_EXTEND_AFTER_P2,-2262.03951829238,-250.253829283375,441.667836947413,2732.81245393412,-346.408361525827,647.113891848098,0,0
1,A6,2,B_EXTEND_BEFORE_P1,-5838.70645986303,-181.400390049126,294.553945099315,-843.854487636523,-277.554922291578,500,0,0
1,A7,1,A_EXTEND_AFTER_P2,-843.854487636523,-277.554922291578,-500,4150.99748458998,-373.709454534033,-294.553945099315,0,0
1,A7,2,B_EXTEND_BEFORE_P1,-2262.03951829238,-250.253829283374,-558.332163052587,2732.81245393412,-346.408361525829,-352.886108151902,0,0
1,A8,1,A_EXTEND_AFTER_P2,577.038075568308,-500,-306.636481677966,5576.64289084053,-468.709098793001,-252.115195849156,1,1
1,A8,2,B_EXTEND_BEFORE_P1,0.395184727774335,-503.60902039175,-312.924841065218,5000,-472.318119184751,-258.403555236408,0,0
1,A9,1,A_EXTEND_AFTER_P2,1066.9641376733,105.066056981001,-242.602515764394,6060.84030373414,318.937665072886,-118.26517904821,1,1
1,A9,2,B_EXTEND_BEFORE_P1,6.12383393915911,59.6336885874392,-269.01527684644,5000,273.505296679324,-144.677940130256,0,0
1,A10,1,A_EXTEND_AFTER_P2,2330.73253512306,75.6211298477722,-262.64252357348,7302.42491751898,420.228820486022,141.734026660795,1,1
1,A10,2,B_EXTEND_BEFORE_P1,28.3076176040827,-83.9690605074512,-449.912083656575,5000,260.638630130799,-45.5355334223004,0,0
1,A11,1,A_EXTEND_AFTER_P2,2656.52072494725,-500,434.928592307143,7583.17346569157,291.308912118405,754.182374929131,0,0
1,A11,2,B_EXTEND_BEFORE_P1,-1265.96465270057,-1130.02159890772,180.746217378012,3660.68808804375,-338.712686789317,500,0,0
1,A12,1,A_EXTEND_AFTER_P2,3660.68808804375,-338.712686789317,-500,8587.34082878807,452.596225329087,-180.746217378014,1,1
1,A12,2,B_EXTEND_BEFORE_P1,73.3472592556773,-914.904052003613,-732.464553402206,5000,-123.595139885209,-413.21077078022,0,0
2,A1,1,A_EXTEND_AFTER_P2,-5000,-460.898289390296,-273.23245049489,-60.4880016845,-275.255230675564,-1026.06568119626,0,0
2,A1,2,B_EXTEND_BEFORE_P1,-8451.63794343944,-590.62216203489,252.833230701372,-3512.12594512394,-404.979103320158,-500,1,2
2,A2,1,A_EXTEND_AFTER_P2,-5000,-192.583780408597,50.2861991895686,-67.2513395831588,302.324463834864,-600.141723747105,0,0
2,A2,2,B_EXTEND_BEFORE_P1,-5759.45994359387,-268.781254298442,150.427922936673,-826.711283177028,226.126989945019,-500,1,2
2,A3,1,A_EXTEND_AFTER_P2,-5000,-143.414420351492,218.690227529327,-71.8431268776681,656.904773308797,488.429031108029,0,0
2,A3,2,B_EXTEND_BEFORE_P1,-8109.99496107919,-648.469093654031,48.4670910637463,-3181.83808795686,151.850100006258,318.205894642448,1,2
2,A4,1,A_EXTEND_AFTER_P2,-5000,-31.8043625940113,-200.10393428969,-15.6732976599415,195.792423682177,123.449812739508,0,0
2,A4,2,B_EXTEND_BEFORE_P1,-6913.85908644009,-119.195940929907,-324.340629772121,-1929.53238410003,108.400845346282,-0.786882742922217,1,2
2,A5,1,A_EXTEND_AFTER_P2,-5000,-24.3939133305471,-161.974770248318,-68.8735934320805,-812.566522036821,-412.526763522577,0,0
2,A5,2,B_EXTEND_BEFORE_P1,-6955.54249614789,288.172608706274,-62.6130768044481,-2024.41608957997,-500,-313.165070078707,1,2
2,A6,1,A_EXTEND_AFTER_P2,-5000,-14.0725596141766,281.931898702774,-1.21956370474209,-120.411977214601,311.698960636785,0,0
2,A6,2,B_EXTEND_BEFORE_P1,-7322.16963646283,35.3271229399665,268.103692349086,-2323.38920016757,-71.012294660458,297.870754283097,1,2
2,A7,1,A_EXTEND_AFTER_P2,-5000,-10.9123393011085,138.872240038616,-19.6616193139489,-441.142817129317,244.377452294494,0,0
2,A7,2,B_EXTEND_BEFORE_P1,-8429.97102577644,285.388425939954,66.2105465060162,-3449.63264509039,-144.842051888255,171.715758761894,1,2
2,A8,1,A_EXTEND_AFTER_P2,-5000,85.6463529482064,-446.561220389142,-20.3886943194311,-230.103769703251,-768.699551520103,0,0
2,A8,2,B_EXTEND_BEFORE_P1,-9153.5551509294,349.017421057368,-177.861668869039,-4173.94384524883,33.2672984059111,-500,1,2
2,A9,1,A_EXTEND_AFTER_P2,-5000,270.675162840378,-248.900081210053,-60.3885819193865,-157.299885492213,-894.714602858761,0,0
2,A9,2,B_EXTEND_BEFORE_P1,-8019.03517775782,532.248719292468,145.814521648708,-3079.42375967721,104.273670959877,-500,1,2
2,A10,1,A_EXTEND_AFTER_P2,-5000,300.316348054142,115.435676374726,-7.55007460507704,277.231978604343,389.13414971964,0,0
2,A10,2,B_EXTEND_BEFORE_P1,-8120.60302705075,314.745567026609,-55.6435126372188,-3128.15310165583,291.66119757681,218.054960707695,1,2
2,A11,1,A_EXTEND_AFTER_P2,-5000,307.50626190705,-131.057049605648,-20.2472778334761,-9.06760522294366,-450.186823718716,0,0
2,A11,2,B_EXTEND_BEFORE_P1,-6938.54445731346,430.74380997312,-6.82452456142585,-1958.79173514694,114.169942843126,-325.954298674494,1,2
2,A12,1,DIRECT,-4850.28126750738,82.5010658474648,-222.18011252894,147.723911234192,170.890609581654,-332.323300384175,1,1
2,A13,1,A_EXTEND_AFTER_P2,-4467.83177333225,246.977030225627,3.06238206404549,469.148871894183,673.329127262814,669.73021390505,0,0
2,A13,2,B_EXTEND_BEFORE_P1,-6474.91125645688,73.6479029628134,-267.964673438193,-1537.93061123045,500,398.703158402811,0,0
2,A14,1,DIRECT,-4320.97782889831,-411.653921511031,368.315645023836,669.713064161411,-154.034754426643,205.10787964038,1,1
2,A15,1,A_EXTEND_AFTER_P2,-4173.94384524883,33.2672984059111,500,805.667460431739,-282.482824245545,177.861668869041,0,0
2,A15,2,B_EXTEND_BEFORE_P1,-5451.81488068765,114.295296657957,582.667344394382,-472.203575007085,-201.454825993499,260.529013263423,0,0
2,A16,1,DIRECT,-3571.27624542796,181.81815690851,361.831173792362,1420.41208784988,34.5184054987683,114.141112117339,1,1
2,A17,1,A_EXTEND_AFTER_P2,-3512.12594512394,-404.979103320158,500,1427.38605319156,-219.336044605424,-252.83323070138,0,0
2,A17,2,B_EXTEND_BEFORE_P1,-7362.79020205991,-549.699693326797,1086.88145992641,-2423.27820374441,-364.056634612063,334.048229225033,0,0
2,A18,1,DIRECT,-3511.51171165783,-474.333842855282,-463.533330394968,1481.8651122767,-242.86501776371,-351.238730327768,1,1
2,A19,1,A_EXTEND_AFTER_P2,-3146.96746839665,225.856272683375,291.56159429546,1781.789933439,591.720219973437,-465.73230236791,0,0
2,A19,2,B_EXTEND_BEFORE_P1,-4382.58173550471,134.136052709938,481.411300179264,546.17566633094,500,-275.882596484106,0,0
2,A20,1,A_EXTEND_AFTER_P2,-3079.42375967721,104.273670959877,500,1860.1876584034,-323.701377372713,-145.814521648709,0,0
2,A20,2,B_EXTEND_BEFORE_P1,-6022.41864018153,359.25898652865,884.772944691675,-1082.80722210092,-68.7160618039392,238.958423042966,0,0
2,A21,1,DIRECT,-2678.97911623744,295.087071499692,-78.7997608836554,2315.72959335963,490.579233198023,-199.910127862549,1,1
2,A22,1,A_EXTEND_AFTER_P2,-2599.08594733317,251.652420635587,359.197054551838,2330.14014502606,334.338315281425,1193.39917228562,0,0
2,A22,2,B_EXTEND_BEFORE_P1,-6696.31996267683,182.922876933545,-334.202117733779,-1767.0938703176,265.608771579383,500,0,0
2,A23,1,A_EXTEND_AFTER_P2,-2129.21351112502,-106.724183165754,-366.358988906297,2837.48166982183,-673.075563798358,-260.599387853466,0,0
2,A23,2,B_EXTEND_BEFORE_P1,-3647.02312200085,66.3513806326038,-398.678858169902,1319.672058946,-500,-292.919257117071,0,0
2,A24,1,DIRECT,-1977.25732408147,66.8052381259813,-477.030271691909,2995.23503720289,342.918909852125,-31.9674028131336,1,1
2,A25,1,DIRECT,-1838.56689459812,294.257902005536,-367.771364687737,3100.77004810686,216.528673349028,404.82732379311,1,1
2,A26,1,DIRECT,-1779.52317608205,-232.026520024825,339.790039270438,3220.45837798502,-243.703331153308,346.726253723034,1,1
2,A27,1,A_EXTEND_AFTER_P2,-1767.0938703176,265.608771579383,-500,3162.13222204163,348.294666225221,334.202117733784,0,0
2,A27,2,B_EXTEND_BEFORE_P1,-2599.08594733316,251.652420635587,-640.802945448162,2330.14014502607,334.338315281425,193.399172285622,0,0
2,A28,1,A_EXTEND_AFTER_P2,-1537.93061123045,-500,398.703158402811,3399.05003399598,-73.6479029628188,1065.37099024381,0,0
2,A28,2,B_EXTEND_BEFORE_P1,-5724.76174795748,-861.570029003478,-166.667831840996,-787.781102731041,-435.217931966297,500,0,0
2,A29,1,DIRECT,-1028.3713146442,-236.936150294581,-334.043480856211,3965.06458500721,-14.6318438933278,-206.847917144566,1,1
