Group,MediumID,ExcelRow,RawLength,LengthErrorFrom5000
1,A1,3,2447.81384794709,-2552.18615205291
1,A2,4,2315.53436981696,-2684.46563018304
1,A3,5,1062.14117897414,-3937.85882102586
1,A4,6,5000,4.54747350886464e-12
1,A5,7,5000,2.72848410531878e-12
1,A6,8,1419.64670679088,-3580.35329320912
1,A7,9,3580.35329320912,-1419.64670679088
1,A8,10,4423.31152946422,-576.688470535782
1,A9,11,3937.85882102586,-1062.14117897414
1,A10,12,2684.46563018304,-2315.53436981696
1,A11,13,1019.11725459342,-3980.88274540658
1,A12,14,1359.25138469766,-3640.74861530234
2,A1,3,1506.09418033954,-3493.90581966046
2,A2,4,4230.18584984047,-769.814150159529
2,A3,5,1844.66724462366,-3155.33275537634
2,A4,6,3080.12275204436,-1919.87724795564
2,A5,7,3017.14422333278,-1982.85577666722
2,A6,8,2677.26381858866,-2322.73618141134
2,A7,9,1556.48796969499,-3443.51203030501
2,A8,10,829.438387900712,-4170.56161209929
2,A9,11,1944.05599729246,-3055.94400270754
2,A10,12,1874.6776896276,-3125.3223103724
2,A11,13,3053.57357536614,-1946.42642463386
2,A12,14,5000,2.72848410531878e-12
2,A13,15,2967.30063640691,-2032.69936359309
2,A14,16,4999.99999999999,-5.45696821063757e-12
2,A15,17,3716.89680479571,-1283.10319520429
2,A16,18,5000,4.54747350886464e-12
2,A17,19,1102.18149257544,-3897.81850742456
2,A18,20,5000,1.81898940354586e-12
2,A19,21,3746.52557798049,-1253.47442201951
2,A20,22,2021.0259153868,-2978.9740846132
2,A21,23,5000.00000000001,8.18545231595635e-12
2,A22,24,843.937832660219,-4156.06216733978
2,A23,25,3472.01251981556,-1527.98748018444
2,A24,26,5000,0
2,A25,27,5000,4.54747350886464e-12
2,A26,28,5000,9.09494701772928e-13
2,A27,29,4156.06216733979,-843.937832660213
2,A28,30,759.724984160844,-4240.27501583916
2,A29,31,5000,-4.54747350886464e-12
2,A30,32,1272.97437943224,-3727.02562056776
2,A31,33,5000,1.81898940354586e-12
2,A32,34,1064.85148373562,-3935.14851626438
2,A33,35,5000,3.63797880709171e-12
2,A34,36,4925.51310143542,-74.486898564579
2,A35,37,1253.4744220195,-3746.5255779805
2,A36,38,3935.14851626438,-1064.85148373562
2,A37,39,1527.98748018443,-3472.01251981557
2,A38,40,3443.51203030501,-1556.48796969499
2,A39,41,3125.32231037239,-1874.67768962761
2,A40,42,927.56174555182,-4072.43825444818
2,A41,43,1338.58205286218,-3661.41794713782
2,A42,44,2322.73618141134,-2677.26381858866
2,A43,45,2227.77100982453,-2772.22899017547
2,A44,46,1946.42642463387,-3053.57357536613
2,A45,47,1919.87724795563,-3080.12275204437
2,A46,48,1934.51292932385,-3065.48707067615
2,A47,49,1053.14227422283,-3946.85772577717
2,A48,50,1034.91808732073,-3965.08191267927
2,A49,51,577.473950139756,-4422.52604986024
3,A1,3,4874.80715336013,-125.192846639873
3,A2,4,3536.54143714368,-1463.45856285632
3,A3,5,1779.05263698407,-3220.94736301593
3,A4,6,1478.06913913149,-3521.93086086851
3,A5,7,4422.79632196514,-577.203678034864
3,A6,8,3442.09243364942,-1557.90756635058
3,A7,9,2497.59827637837,-2502.40172362163
3,A8,10,2497.12824849134,-2502.87175150866
3,A9,11,2904.01079087906,-2095.98920912094
3,A10,12,4342.18122187873,-657.818778121275
3,A11,13,913.515101427663,-4086.48489857234
3,A12,14,2060.38274038113,-2939.61725961887
3,A13,15,4528.15914247438,-471.840857525615
3,A14,16,3509.93057904505,-1490.06942095495
3,A15,17,804.902585300458,-4195.09741469954
3,A16,18,2497.84094460506,-2502.15905539494
3,A17,19,981.387976262608,-4018.61202373739
3,A18,20,1471.2231541959,-3528.7768458041
3,A19,21,882.416415678777,-4117.58358432122
3,A20,22,1840.46038496326,-3159.53961503674
3,A21,23,3191.74066050144,-1808.25933949856
3,A22,24,2765.28806184841,-2234.71193815159
3,A23,25,3450.04396005675,-1549.95603994325
3,A24,26,3815.52228969526,-1184.47771030474
3,A25,27,3665.68426682574,-1334.31573317426
3,A26,28,4474.30261795094,-525.697382049064
3,A27,29,2305.77420421187,-2694.22579578813
3,A28,30,4036.5366439421,-963.463356057905
3,A29,31,3711.55542740026,-1288.44457259974
3,A30,32,831.635453761807,-4168.36454623819
3,A31,33,3277.86233502475,-1722.13766497525
3,A32,34,3934.46970492368,-1065.53029507632
3,A33,35,3432.25591481607,-1567.74408518393
3,A34,36,3965.72498047042,-1034.27501952958
3,A35,37,3102.40496915297,-1897.59503084703
3,A36,38,4168.65995530506,-831.340044694938
3,A37,39,1075.09193562398,-3924.90806437602
3,A38,40,561.718304811153,-4438.28169518885
3,A39,41,811.0214235043,-4188.9785764957
3,A40,42,2217.8121965483,-2782.1878034517
3,A41,43,4193.51846848242,-806.481531517576
3,A42,44,1222.58033939938,-3777.41966060062
3,A43,45,1570.71075645864,-3429.28924354136
3,A44,46,1001.77543944703,-3998.22456055297
3,A45,47,2719.60390634487,-2280.39609365513
3,A46,48,1133.87485420103,-3866.12514579897
3,A47,49,1521.29921475044,-3478.70078524956
3,A48,50,1869.02361591365,-3130.97638408635
3,A49,51,4990.28278053823,-9.71721946176876
3,A50,52,3790.51176351418,-1209.48823648582
3,A51,53,1166.46899467179,-3833.53100532821
3,A52,54,4658.08876117796,-341.911238822037
3,A53,55,3360.04652037727,-1639.95347962273
3,A54,56,2350.56906661349,-2649.43093338651
3,A55,57,3112.94540205222,-1887.05459794778
3,A56,58,527.676800319801,-4472.3231996802
3,A57,59,3858.5340030566,-1141.4659969434
3,A58,60,1835.02890319845,-3164.97109680155
3,A59,61,3851.41266716847,-1148.58733283153
3,A60,62,3412.71788762464,-1587.28211237536
3,A61,63,3968.89366983223,-1031.10633016777
3,A62,64,2685.67602875809,-2314.32397124191
3,A63,65,4993.53751413764,-6.46248586236106
3,A64,66,4041.13735010894,-958.862649891061
3,A65,67,3350.06006665072,-1649.93993334928
3,A66,68,1051.93355018598,-3948.06644981402
3,A67,69,4794.64235304177,-205.35764695823
3,A68,70,4092.49030587831,-907.509694121693
3,A69,71,703.657841629242,-4296.34215837076
3,A70,72,3863.64577130947,-1136.35422869053
3,A71,73,2881.41368809394,-2118.58631190606
3,A72,74,3326.05302515012,-1673.94697484988
3,A73,75,4593.51548495366,-406.484515046343
3,A74,76,690.711020866485,-4309.28897913352
3,A75,77,3725.79108665815,-1274.20891334185
3,A76,78,2952.02824550811,-2047.97175449189
3,A77,79,4320.66486523392,-679.335134766079
3,A78,80,919.407116503299,-4080.5928834967
3,A79,81,3399.85771804035,-1600.14228195965
3,A80,82,771.300909264929,-4228.69909073507
3,A81,83,1870.00052923577,-3129.99947076423
3,A82,84,811.96724056501,-4188.03275943499
3,A83,85,2575.77529595882,-2424.22470404118
3,A84,86,4088.70798391017,-911.292016089826
3,A85,87,1668.3304045978,-3331.6695954022
3,A86,88,3595.47694819031,-1404.52305180969
3,A87,89,700.403163458043,-4299.59683654196
3,A88,90,827.249017764548,-4172.75098223545
3,A89,91,2066.89184897457,-2933.10815102543
3,A90,92,1594.67885104065,-3405.32114895935
3,A91,93,661.256218116935,-4338.74378188307
3,A92,94,3800.25416017011,-1199.7458398299
3,A93,95,5000,-1.81898940354586e-12
3,A94,96,5000,-2.72848410531878e-12
3,A95,97,5000,-9.09494701772928e-13
3,A96,98,1531.44317552721,-3468.55682447279
3,A97,99,5000,-9.09494701772928e-13
3,A98,100,5000,4.54747350886464e-12
3,A99,101,1302.20977112235,-3697.79022887765
3,A100,102,4999.99999999999,-5.45696821063757e-12
3,A101,103,5000,-1.81898940354586e-12
3,A102,104,1190.15021507902,-3809.84978492098
3,A103,105,5000,0
3,A104,106,3905.22827248758,-1094.77172751242
3,A105,107,2910.80889568809,-2089.19110431191
3,A106,108,5000,-2.72848410531878e-12
3,A107,109,5000,0
3,A108,110,5000,-3.63797880709171e-12
3,A109,111,4814.48425745186,-185.515742548142
3,A110,112,1080.12043594506,-3919.87956405494
3,A111,113,5000,1.81898940354586e-12
3,A112,114,705.212623967009,-4294.78737603299
3,A113,115,5000,3.63797880709171e-12
3,A114,116,5000.00000000001,8.18545231595635e-12
3,A115,117,5000,4.54747350886464e-12
3,A116,118,5000,-3.63797880709171e-12
3,A117,119,5000,1.81898940354586e-12
3,A118,120,4833.7867686378,-166.213231362195
3,A119,121,5000.00000000001,5.45696821063757e-12
3,A120,122,5000,-4.54747350886464e-12
3,A121,123,3468.55682447278,-1531.44317552722
3,A122,124,5000,1.81898940354586e-12
3,A123,125,2099.37127947342,-2900.62872052658
3,A124,126,3722.62738277933,-1277.37261722067
3,A125,127,5000,2.72848410531878e-12
3,A126,128,5000,4.54747350886464e-12
