Group,MediumID,RawLength,R1CandidateCount,R1Status,R2CandidateCount,R2Status,R3CandidateCount,R3Status,SelectedForVisualization
1,A1,2447.81384794709,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,1
1,A2,2315.53436981696,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A3,1062.14117897414,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A4,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,1
1,A5,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A6,1419.64670679088,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,1
1,A7,3580.35329320912,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
1,A8,4423.31152946422,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A9,3937.85882102586,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A10,2684.46563018304,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
1,A11,1019.11725459342,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
1,A12,1359.25138469766,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A1,1506.09418033954,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A2,4230.18584984047,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A3,1844.66724462366,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A4,3080.12275204436,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A5,3017.14422333278,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A6,2677.26381858866,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
