Scope,Group,MediumID,PieceIndex,LeftContact,RightContact,DirectElectrodeCharged,ActivatedByGeometry,InheritedFromSameMedium,PieceCharged,ChargeSource
UNIQUE_ONLY_LOWER_BOUND,1,A1,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A1,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A2,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A2,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A3,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A3,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A4,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,1,A5,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,1,A8,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A8,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A9,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A9,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A10,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A10,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A12,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,1,A12,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A1,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A1,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A2,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A2,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A3,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A3,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A4,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A4,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A5,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A5,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A6,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A6,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A7,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A7,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A8,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A8,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A9,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A9,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A10,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A10,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A11,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A11,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A12,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A14,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A16,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A18,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,2,A21,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,2,A24,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A25,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,2,A26,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A29,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,2,A31,1,0,0,0,0,0,0,UNCHARGED
UNIQUE_ONLY_LOWER_BOUND,2,A33,1,0,0,0,1,0,1,GEOMETRY_EDGE
UNIQUE_ONLY_LOWER_BOUND,2,A34,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A34,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A38,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A38,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A39,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A39,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A42,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A42,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A43,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A43,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A44,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A44,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A45,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A45,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A46,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A46,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A47,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A47,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A48,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A48,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A49,1,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,2,A49,2,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A1,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A1,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A2,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A2,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A4,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A4,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A4,3,0,0,0,0,1,1,SAME_MEDIUM_INHERITANCE
UNIQUE_ONLY_LOWER_BOUND,3,A5,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A5,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A6,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A6,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A7,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A7,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A8,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A8,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A9,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A9,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A9,3,0,0,0,0,1,1,SAME_MEDIUM_INHERITANCE
UNIQUE_ONLY_LOWER_BOUND,3,A10,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A10,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A12,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A12,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A12,3,0,0,0,0,1,1,SAME_MEDIUM_INHERITANCE
UNIQUE_ONLY_LOWER_BOUND,3,A13,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A13,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A14,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A14,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A15,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A15,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A16,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A16,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A17,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A17,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A18,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A18,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A19,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A19,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A19,3,0,0,0,0,1,1,SAME_MEDIUM_INHERITANCE
UNIQUE_ONLY_LOWER_BOUND,3,A20,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A20,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A21,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A21,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A22,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A22,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A23,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A23,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A24,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A24,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A25,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A25,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A26,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A26,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A27,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A27,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A28,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A28,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A29,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A29,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A30,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A30,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A31,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A31,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A32,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A32,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A33,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A33,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A34,1,1,0,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A34,2,0,1,1,0,0,1,DIRECT_ELECTRODE
UNIQUE_ONLY_LOWER_BOUND,3,A35,1,1,0,1,0,0,1,DIRECT_ELECTRODE
