Scope,Group,EdgeType,NodeA,NodeB,AxisDistance,ExactDistance
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A1-1,A4-1,34.6436549215185,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A1-1,A12-2,1.75018662029523e-12,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A1-2,A12-1,0,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A2-1,A10-2,5.14739050353081e-13,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A2-2,A3-2,53.7473984804563,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A2-2,A9-1,53.7473984804568,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A2-2,A10-1,2.8421709430404e-14,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A3-1,A9-2,5.21172319761611e-13,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A3-2,A9-1,0,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A3-2,A10-1,53.7473984804566,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A4-1,A12-2,18.1160531675026,0
UNIQUE_ONLY_LOWER_BOUND,1,PIECE_PIECE,A9-1,A10-1,53.7473984804571,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A1-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A2-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A3-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A8-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A9-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A10-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,LEFT,A12-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A1-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A2-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A3-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A8-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A9-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A10-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,1,ELECTRODE,A12-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A1-1,A47-2,1.86460277596515e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A1-2,A3-2,17.9442880522734,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A1-2,A43-1,56.9633946438146,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A1-2,A47-1,5.6843418860808e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-1,A11-1,23.430510427187,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-1,A12-1,55.8323230913112,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-1,A44-2,23.4305104271885,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-1,A49-2,3.88702596803313e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-2,A3-2,26.7128615061826,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-2,A43-1,26.7128615061826,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A2-2,A49-1,1.17185710042169e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-1,A6-1,27.9212035368755,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-1,A16-1,30.4771678908694,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-1,A42-2,27.9212035368755,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-1,A43-2,6.0425383098474e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-2,A34-1,58.3628222923124,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A3-2,A43-1,5.6843418860808e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-1,A5-1,29.5699198660844,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-1,A45-2,5.69172278778994e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-1,A46-2,29.5699198660845,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-2,A5-2,38.8426042996635,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-2,A45-1,2.8421709430404e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A4-2,A46-1,38.8426042996634,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A5-1,A45-2,29.5699198660844,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A5-1,A46-2,1.40162546880878e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A5-2,A45-1,38.8426042996635,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A5-2,A46-1,1.72882509170285e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A6-1,A42-2,4.93098229210815e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A6-1,A43-2,27.9212035368754,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A6-2,A42-1,7.105427357601e-15,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A7-1,A38-2,9.61729501550998e-13,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A7-2,A33-1,19.5693999700992,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A7-2,A38-1,0,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A9-1,A48-2,1.45701115093019e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A9-2,A11-2,3.73307454762764,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A9-2,A44-1,3.73307454762819,0
