Group,MediumID,PieceIndex,SourceExcelRow,ObservedP1,ObservedP2,OriginalStart,OriginalEnd,PieceStart,PieceEnd,PieceLength,Translation,BoundarySequence,ReconstructionType
1,A1,1,3,"-5000;-123.595139885209;-413.21077078022","-2588.09423943591;263.800242732266;-256.916004757901","-2588.09423943591;263.800242732266;-256.916004757901","-7514.74698018023;-527.508669386136;-576.16978737989","-2588.09423943591;263.800242732266;-256.916004757901","-5000;-123.595139885209;-413.21077078022",2447.81384794709,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A1,2,3,"-5000;-123.595139885209;-413.21077078022","-2588.09423943591;263.800242732266;-256.916004757901","-2588.09423943591;263.800242732266;-256.916004757901","-7514.74698018023;-527.508669386136;-576.16978737989","5000;-123.595139885209;-413.21077078022","2485.25301981977;-527.508669386136;-576.16978737989",2552.18615205291,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A2,1,4,"-5000;260.638630130799;-45.5355334223004","-2697.57508248102;420.228820486022;141.734026660795","-2697.57508248102;420.228820486022;141.734026660795","-7669.26746487694;75.6211298477729;-262.64252357348","-2697.57508248102;420.228820486022;141.734026660795","-5000;260.638630130799;-45.5355334223004",2315.53436981696,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A2,2,4,"-5000;260.638630130799;-45.5355334223004","-2697.57508248102;420.228820486022;141.734026660795","-2697.57508248102;420.228820486022;141.734026660795","-7669.26746487694;75.6211298477729;-262.64252357348","5000;260.638630130799;-45.5355334223004","2330.73253512306;75.6211298477729;-262.64252357348",2684.46563018304,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A3,1,5,"-5000;273.505296679324;-144.677940130256","-3939.15969626586;318.937665072886;-118.26517904821","-3939.15969626586;318.937665072886;-118.26517904821","-8933.0358623267;105.066056981;-242.602515764392","-3939.15969626586;318.937665072886;-118.26517904821","-5000;273.505296679324;-144.677940130256",1062.14117897414,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A3,2,5,"-5000;273.505296679324;-144.677940130256","-3939.15969626586;318.937665072886;-118.26517904821","-3939.15969626586;318.937665072886;-118.26517904821","-8933.0358623267;105.066056981;-242.602515764392","5000;273.505296679324;-144.677940130256","1066.9641376733;105.066056981;-242.602515764392",3937.85882102586,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A4,1,6,"-4192.3186063671;261.813019412782;-199.977019550071","806.624526775099;321.530792400596;-283.651025070759","-4192.3186063671;261.813019412782;-199.977019550071","806.624526775099;321.530792400596;-283.651025070759","-4192.3186063671;261.813019412782;-199.977019550071","806.624526775099;321.530792400596;-283.651025070759",5000.00000000001,"-0;-0;-0","NONE","DIRECT_FULL"
1,A5,1,7,"-2777.97743793496;-159.004834417892;-249.729794262883","2215.33209763938;97.7058633389306;-280.705584803122","-2777.97743793496;-159.004834417892;-249.729794262883","2215.33209763938;97.7058633389306;-280.705584803122","-2777.97743793496;-159.004834417892;-249.729794262883","2215.33209763938;97.7058633389306;-280.705584803122",5000,"-0;-0;-0","NONE","DIRECT_FULL"
1,A8,1,10,"577.038075568308;-500;-306.636481677966","5000;-472.318119184751;-258.403555236408","577.038075568308;-500;-306.636481677966","5576.64289084053;-468.709098793001;-252.115195849156","577.038075568308;-500;-306.636481677966","5000;-472.318119184751;-258.403555236408",4423.31152946422,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A8,2,10,"577.038075568308;-500;-306.636481677966","5000;-472.318119184751;-258.403555236408","577.038075568308;-500;-306.636481677966","5576.64289084053;-468.709098793001;-252.115195849156","-5000;-472.318119184751;-258.403555236408","-4423.35710915947;-468.709098793001;-252.115195849156",576.688470535782,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
