Group,MediumID,ExcelRow,RawLength,BoundaryEndpointCount,P1BoundaryAxes,P2BoundaryAxes,HasAbs500Coordinate,Classification,Status,InteriorPointXYZ,BoundaryPointXYZ,ObservedDirectionXYZ,MissingLength,OriginalStartXYZ,OriginalEndXYZ,ForwardPieceCount,BoundaryEventSequence,ObservedPieceMatched,MatchedPieceIndex,MatchedPieceTranslationXYZ,ReplayError,PhysicalCandidateCount,IsUniquelyReconstructed,Reason
1,A1,3,2447.81384794709,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-2588.09423943591;263.800242732266;-256.916004757901","-5000;-123.595139885209;-413.21077078022","-0.985330548148864;-0.158261782423681;-0.0638507565243977",2552.18615205291,"-2588.09423943591;263.800242732266;-256.916004757901","-7514.74698018023;-527.508669386136;-576.16978737989",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A2,4,2315.53436981696,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-2697.57508248102;420.228820486022;141.734026660795","-5000;260.638630130799;-45.5355334223004","-0.994338476479184;-0.0689215381276498;-0.080875310046855",2684.46563018304,"-2697.57508248102;420.228820486022;141.734026660795","-7669.26746487694;75.6211298477729;-262.64252357348",2,"X",1,1,"-0;-0;-0",2.1316282072803e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A3,5,1062.14117897414,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3939.15969626586;318.937665072886;-118.26517904821","-5000;273.505296679324;-144.677940130256","-0.998775233212168;-0.0427743216183772;-0.0248674673432365",3937.85882102586,"-3939.15969626586;318.937665072886;-118.26517904821","-8933.0358623267;105.066056981;-242.602515764392",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A4,6,5000.00000000001,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.999788626628439;0.0119435545975628;-0.0167348011041376",0,"-4192.3186063671;261.813019412782;-199.977019550071","806.624526775099;321.530792400596;-283.651025070759",1,"NONE",1,1,"-0;-0;-0",2.27373675443232e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
1,A5,7,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998661907114867;0.0513421395513645;-0.0061951581080478",0,"-2777.97743793496;-159.004834417892;-249.729794262883","2215.33209763938;97.7058633389306;-280.705584803122",1,"NONE",1,1,"-0;-0;-0",4.54969341307734e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
1,A6,8,1419.64670679088,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3580.35329320912,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
1,A7,9,3580.35329320912,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",1419.64670679088,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
1,A8,10,4423.31152946422,1,"NONE","X+5000",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","577.038075568308;-500;-306.636481677966","5000;-472.318119184751;-258.403555236408","0.999920963054445;0.00625818024139982;0.010904257165762",576.688470535782,"577.038075568308;-500;-306.636481677966","5576.64289084053;-468.709098793001;-252.115195849156",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A9,11,3937.85882102586,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","1066.9641376733;105.066056981001;-242.602515764394","5000;273.505296679324;-144.677940130256","0.998775233212168;0.042774321618377;0.0248674673432369",1062.14117897414,"1066.9641376733;105.066056981001;-242.602515764394","6060.84030373414;318.937665072886;-118.26517904821",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A10,12,2684.46563018304,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","2330.73253512306;75.6211298477722;-262.64252357348","5000;260.638630130799;-45.5355334223004","0.994338476479184;0.06892153812765;0.0808753100468549",2315.53436981696,"2330.73253512306;75.6211298477722;-262.64252357348","7302.42491751898;420.228820486022;141.734026660795",2,"X",1,1,"-0;-0;-0",7.105427357601e-15,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
1,A11,13,1019.11725459342,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3980.88274540658,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
1,A12,14,1359.25138469766,1,"NONE","X+5000",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","3660.68808804375;-338.712686789317;-500","5000;-123.595139885209;-413.21077078022","0.985330548148865;0.158261782423681;0.0638507565243971",3640.74861530234,"3660.68808804375;-338.712686789317;-500","8587.34082878807;452.596225329087;-180.746217378014",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A1,3,1506.09418033954,1,"X-5000","NONE",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3512.12594512394;-404.979103320158;-500","-5000;-460.898289390296;-273.23245049489","-0.9879023996631;-0.0371286117429465;0.150566646140274",3493.90581966046,"-3512.12594512394;-404.979103320158;-500","-8451.63794343944;-590.62216203489;252.833230701372",2,"X",1,1,"-0;-0;-0",5.6843418860808e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A2,4,4230.18584984047,1,"X-5000","NONE",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-826.711283177028;226.126989945019;-500","-5000;-192.583780408597;50.2861991895686","-0.986549732083368;-0.0989816488486922;0.130085584587335",769.814150159529,"-826.711283177028;226.126989945019;-500","-5759.45994359387;-268.781254298442;150.427922936673",2,"X",1,1,"-0;-0;-0",1.20792265079217e-13,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A3,5,1844.66724462366,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3181.83808795686;151.850100006258;318.205894642448","-5000;-143.414420351492;218.690227529327","-0.985631374624466;-0.160063838732058;-0.0539477607157404",3155.33275537634,"-3181.83808795686;151.850100006258;318.205894642448","-8109.99496107919;-648.469093654031;48.4670910637463",2,"X",1,1,"-0;-0;-0",2.8421709430404e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A4,6,3080.12275204436,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-1929.53238410003;108.400845346282;-0.786882742922217","-5000;-31.8043625940113;-200.10393428969","-0.996865340468012;-0.0455193572552377;-0.0647107494058397",1919.87724795564,"-1929.53238410003;108.400845346282;-0.786882742922217","-6913.85908644009;-119.195940929907;-324.340629772121",2,"X",1,1,"-0;-0;-0",7.105427357601e-15,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A5,7,3017.14422333278,1,"X-5000","NONE",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-2024.41608957997;-500;-313.165070078707","-5000;-24.3939133305471;-161.974770248318","-0.986225281313584;0.157634521741255;0.0501103986548518",1982.85577666722,"-2024.41608957997;-500;-313.165070078707","-6955.54249614789;288.172608706274;-62.6130768044481",2,"X",1,1,"-0;-0;-0",1.24090954021291e-13,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A6,8,2677.26381858866,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-2323.38920016757;-71.012294660458;297.870754283097","-5000;-14.0725596141766;281.931898702774","-0.999756087259052;0.0212678835200849;-0.00595341238680217",2322.73618141134,"-2323.38920016757;-71.012294660458;297.870754283097","-7322.16963646283;35.3271229399665;268.103692349086",2,"X",1,1,"-0;-0;-0",8.88178419700125e-15,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A7,9,1556.48796969499,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3449.63264509039;-144.842051888255;171.715758761894","-5000;-10.9123393011085;138.872240038616","-0.99606767613721;0.0860460955656417;-0.0211010424511756",3443.51203030501,"-3449.63264509039;-144.842051888255;171.715758761894","-8429.97102577644;285.388425939954;66.2105465060162",2,"X",1,1,"-0;-0;-0",1.06581410364015e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A8,10,829.438387900712,1,"X-5000","NONE",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-4173.94384524883;33.2672984059111;-500","-5000;85.6463529482064;-446.561220389142","-0.995922261136114;0.0631500245302914;0.0644276662261922",4170.56161209929,"-4173.94384524883;33.2672984059111;-500","-9153.5551509294;349.017421057368;-177.861668869039",2,"X",1,1,"-0;-0;-0",1.4210854715202e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A9,11,1944.05599729246,1,"X-5000","NONE",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3079.42375967721;104.273670959877;-500","-5000;270.675162840378;-248.900081210053","-0.987922283616123;0.0855950096665181;0.129162904329742",3055.94400270754,"-3079.42375967721;104.273670959877;-500","-8019.03517775782;532.248719292468;145.814521648708",2,"X",1,1,"-0;-0;-0",5.6843418860808e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A10,12,1874.6776896276,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-3128.15310165583;291.66119757681;218.054960707695","-5000;300.316348054142;115.435676374726","-0.998489985078985;0.00461687388995987;-0.0547396946689828",3125.3223103724,"-3128.15310165583;291.66119757681;218.054960707695","-8120.60302705075;314.745567026609;-55.6435126372188",2,"X",1,1,"-0;-0;-0",1.4210854715202e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A11,13,3053.57357536614,1,"X-5000","NONE",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","-1958.79173514694;114.169942843126;-325.954298674494","-5000;307.50626190705;-131.057049605648","-0.995950544433305;0.0633147734259987;0.0638259548226136",1946.42642463386,"-1958.79173514694;114.169942843126;-325.954298674494","-6938.54445731346;430.74380997312;-6.82452456142585",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A12,14,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.999601035748314;0.0176779087468378;-0.022028637571047",0,"-4850.28126750738;82.5010658474648;-222.18011252894","147.723911234192;170.890609581654;-332.323300384175",1,"NONE",1,1,"-0;-0;-0",1.98951966012828e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A13,15,2967.30063640691,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",2032.69936359309,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A14,16,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998138178611945;0.0515238334168776;-0.0326415530766912",0,"-4320.97782889831;-411.653921511031;368.315645023836","669.713064161411;-154.034754426643;205.10787964038",1,"NONE",1,1,"-0;-0;-0",2.29143147075165e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A15,17,3716.89680479572,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",1283.10319520428,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A16,18,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998337666655567;-0.0294599502819483;-0.0495380123350046",0,"-3571.27624542796;181.81815690851;361.831173792362","1420.41208784988;34.5184054987683;114.141112117339",1,"NONE",1,1,"-0;-0;-0",2.28260125882812e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A17,19,1102.18149257544,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3897.81850742456,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A18,20,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998675364786905;0.0462937650183144;0.02245892001344",0,"-3511.51171165783;-474.333842855282;-463.533330394968","1481.8651122767;-242.86501776371;-351.238730327768",1,"NONE",1,1,"-0;-0;-0",0,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A19,21,3746.52557798049,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",1253.47442201951,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A20,22,2021.0259153868,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",2978.9740846132,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
