Group,DirectionFamily,PieceCount,TotalAxisLength,LengthError,IsNear5000
1,1,3,4826.18248723817,-173.817512761826,0
1,2,2,5000,1.81898940354586e-12,1
1,3,2,5000,0,1
1,4,1,5000,4.54747350886464e-12,1
1,5,1,5000,2.72848410531878e-12,1
1,6,2,5000,-2.72848410531878e-12,1
1,7,1,4423.31152946422,-576.688470535782,0
2,1,4,4999.99999999999,-8.18545231595635e-12,1
2,2,2,4807.65979998023,-192.340200019774,0
2,3,3,5000.00000000001,9.09494701772928e-12,1
2,4,2,4999.99999999999,-8.18545231595635e-12,1
2,5,2,4951.65715265663,-48.3428473433651,0
2,6,2,5000,1.81898940354586e-12,1
2,7,2,5000,0,1
2,8,2,4546.33519269643,-453.664807303574,0
2,9,3,5000,-3.63797880709171e-12,1
2,10,2,5000,-3.63797880709171e-12,1
2,11,2,5000.00000000001,6.3664629124105e-12,1
2,12,1,5000,2.72848410531878e-12,1
2,13,3,5000,-2.72848410531878e-12,1
2,14,1,4999.99999999999,-5.45696821063757e-12,1
2,15,1,5000,4.54747350886464e-12,1
2,16,1,5000,1.81898940354586e-12,1
2,17,2,5000,-3.63797880709171e-12,1
2,18,1,5000.00000000001,8.18545231595635e-12,1
2,19,2,5000.00000000001,5.45696821063757e-12,1
2,20,2,5000,-1.81898940354586e-12,1
2,21,1,5000,0,1
2,22,1,5000,4.54747350886464e-12,1
2,23,1,5000,9.09494701772928e-13,1
2,24,1,5000,-4.54747350886464e-12,1
2,25,1,5000,1.81898940354586e-12,1
2,26,2,5000,-3.63797880709171e-12,1
2,27,1,5000,3.63797880709171e-12,1
2,28,1,4925.51310143542,-74.486898564579,0
3,1,1,4874.80715336013,-125.192846639873,0
3,2,2,4999.99999999999,-6.3664629124105e-12,1
3,3,2,4363.61573978323,-636.384260216768,0
3,4,3,4999.99999999999,-7.27595761418343e-12,1
3,5,2,5000,0,1
3,6,2,5000,0,1
3,7,2,5000,-1.81898940354586e-12,1
3,8,2,5000,9.09494701772928e-13,1
3,9,3,5000,-1.81898940354586e-12,1
3,10,2,5000,1.81898940354586e-12,1
3,11,3,5000,2.72848410531878e-12,1
3,12,3,5000,3.63797880709171e-12,1
3,13,1,4528.15914247438,-471.840857525615,0
3,14,2,5000,-9.09494701772928e-13,1
3,15,2,5000,9.09494701772928e-13,1
3,16,2,5000,-3.63797880709171e-12,1
3,17,2,5000,1.81898940354586e-12,1
3,18,2,5000,0,1
3,19,3,5000,-3.63797880709171e-12,1
3,20,2,5000,-9.09494701772928e-13,1
3,21,2,5000,9.09494701772928e-13,1
3,22,2,5000,0,1
3,23,2,5000,-3.63797880709171e-12,1
3,24,2,5000,2.72848410531878e-12,1
3,25,2,5000,1.81898940354586e-12,1
3,26,2,5000,4.54747350886464e-12,1
3,27,2,5000,1.81898940354586e-12,1
3,28,2,5000,-4.54747350886464e-12,1
3,29,2,4999.99999999999,-5.45696821063757e-12,1
3,30,2,5000,-9.09494701772928e-13,1
3,31,2,5000,3.63797880709171e-12,1
3,32,2,5000,-1.81898940354586e-12,1
3,33,2,5000,4.54747350886464e-12,1
3,34,2,5000.00000000001,7.27595761418343e-12,1
3,35,2,5000,9.09494701772928e-13,1
3,36,2,5000,9.09494701772928e-13,1
3,37,3,5000,-1.81898940354586e-12,1
3,38,2,4999.99999999999,-8.18545231595635e-12,1
3,39,3,4999.99999999999,-7.27595761418343e-12,1
3,40,2,5000,9.09494701772928e-13,1
3,41,2,5000,-1.81898940354586e-12,1
3,42,2,5000,0,1
3,43,2,5000,0,1
3,44,3,5000,-9.09494701772928e-13,1
3,45,2,5000,-1.81898940354586e-12,1
3,46,2,5000,-9.09494701772928e-13,1
3,47,2,5000,-1.81898940354586e-12,1
3,48,3,5000,-9.09494701772928e-13,1
3,49,1,4990.28278053823,-9.71721946176876,0
3,50,2,4999.99999999999,-5.45696821063757e-12,1
3,51,2,5000,2.72848410531878e-12,1
3,52,1,4658.08876117796,-341.911238822037,0
3,53,2,5000,4.54747350886464e-12,1
3,54,2,4999.99999999999,-5.45696821063757e-12,1
3,55,2,4999.99999999999,-6.3664629124105e-12,1
3,56,3,5000,1.81898940354586e-12,1
3,57,2,5000,0,1
3,58,2,5000.00000000001,6.3664629124105e-12,1
3,59,2,5000,0,1
3,60,2,5000,-2.72848410531878e-12,1
3,61,2,4999.99999999999,-6.3664629124105e-12,1
3,62,2,5000,-3.63797880709171e-12,1
3,63,1,4993.53751413764,-6.46248586236106,0
3,64,2,4626.12367726423,-373.876322735775,0
3,65,2,5000.00000000001,5.45696821063757e-12,1
3,66,2,5000,0,1
3,67,1,4794.64235304177,-205.35764695823,0
3,68,2,5000,1.81898940354586e-12,1
3,69,2,5000,-1.81898940354586e-12,1
3,70,2,4999.99999999999,-5.45696821063757e-12,1
3,71,2,5000,0,1
3,72,2,5000,-9.09494701772928e-13,1
3,73,1,4593.51548495366,-406.484515046343,0
3,74,2,5000,-4.54747350886464e-12,1
3,75,2,5000,0,1
3,76,3,5000,-1.81898940354586e-12,1
3,77,2,5000,4.54747350886464e-12,1
3,78,2,5000,4.54747350886464e-12,1
3,79,2,5000,0,1
3,80,2,4856.59761916435,-143.402380835648,0
3,81,3,4999.99999999999,-7.27595761418343e-12,1
3,82,2,5000,-2.72848410531878e-12,1
3,83,2,5000,-2.72848410531878e-12,1
3,84,2,5000,-3.63797880709171e-12,1
3,85,3,5000,0,1
3,86,2,4904.12158948042,-95.8784105195755,0
3,87,3,4999.99999999999,-9.09494701772928e-12,1
3,88,3,4991.85964978797,-8.14035021203472,0
3,89,3,5000.00000000001,5.45696821063757e-12,1
3,90,2,5000,-3.63797880709171e-12,1
3,91,3,5000,-3.63797880709171e-12,1
3,92,2,5000,-4.54747350886464e-12,1
3,93,1,5000,-1.81898940354586e-12,1
3,94,1,5000,-2.72848410531878e-12,1
3,95,1,5000,-9.09494701772928e-13,1
3,96,2,5000,-3.63797880709171e-12,1
3,97,1,5000,-9.09494701772928e-13,1
3,98,1,5000,4.54747350886464e-12,1
3,99,1,4999.99999999999,-5.45696821063757e-12,1
3,100,1,5000,-1.81898940354586e-12,1
3,101,2,4630.39787806458,-369.602121935418,0
3,102,1,5000,0,1
3,103,2,5000,-3.63797880709171e-12,1
3,104,2,5000,3.63797880709171e-12,1
3,105,1,5000,-2.72848410531878e-12,1
3,106,1,5000,0,1
3,107,1,5000,-3.63797880709171e-12,1
3,108,1,4814.48425745186,-185.515742548142,0
3,109,1,5000,1.81898940354586e-12,1
3,110,2,4999.99999999999,-1.09139364212751e-11,1
3,111,1,5000,3.63797880709171e-12,1
3,112,1,5000.00000000001,8.18545231595635e-12,1
3,113,1,5000,4.54747350886464e-12,1
3,114,1,5000,-3.63797880709171e-12,1
3,115,1,5000,1.81898940354586e-12,1
3,116,1,4833.7867686378,-166.213231362195,0
3,117,1,5000.00000000001,5.45696821063757e-12,1
3,118,1,5000,-4.54747350886464e-12,1
3,119,1,5000,1.81898940354586e-12,1
3,120,3,5000,0,1
3,121,1,5000,2.72848410531878e-12,1
3,122,1,5000,4.54747350886464e-12,1
3,123,2,4999.99999999999,-5.45696821063757e-12,1
3,124,1,5000,0,1
3,125,1,5000,1.81898940354586e-12,1
3,126,1,5000,4.54747350886464e-12,1
3,127,1,5000,2.72848410531878e-12,1
3,128,2,5000,2.72848410531878e-12,1
3,129,1,5000,3.63797880709171e-12,1
3,130,1,5000,0,1
3,131,2,5000,1.81898940354586e-12,1
3,132,2,5000,1.81898940354586e-12,1
3,133,1,4804.00542169829,-195.994578301714,0
3,134,1,5000,-4.54747350886464e-12,1
3,135,2,5000,-9.09494701772928e-13,1
3,136,1,5000,-1.81898940354586e-12,1
3,137,2,5000.00000000001,5.45696821063757e-12,1
3,138,2,5000,4.54747350886464e-12,1
3,139,1,5000,2.72848410531878e-12,1
3,140,1,5000,3.63797880709171e-12,1
3,141,2,5000,-2.72848410531878e-12,1
3,142,1,5000,2.72848410531878e-12,1
3,143,1,4634.68646516899,-365.313534831005,0
3,144,1,4564.22118696735,-435.778813032651,0
3,145,1,5000,1.81898940354586e-12,1
3,146,1,4997.38931275427,-2.61068724573033,0
3,147,2,5000,-1.81898940354586e-12,1
3,148,1,5000,-3.63797880709171e-12,1
3,149,2,5000.00000000001,6.3664629124105e-12,1
3,150,2,5000.00000000001,5.45696821063757e-12,1
3,151,2,5000.00000000001,5.45696821063757e-12,1
3,152,1,4532.156821229,-467.843178771,0
3,153,1,4999.99999999999,-8.18545231595635e-12,1
3,154,1,4999.99999999999,-7.27595761418343e-12,1
3,155,1,5000,-9.09494701772928e-13,1
3,156,2,5000.00000000001,7.27595761418343e-12,1
3,157,1,5000,1.81898940354586e-12,1
3,158,1,5000,9.09494701772928e-13,1
3,159,2,5000,-1.81898940354586e-12,1
3,160,1,5000,1.81898940354586e-12,1
3,161,1,5000,-1.81898940354586e-12,1
3,162,2,5000,-1.81898940354586e-12,1
3,163,1,5000,4.54747350886464e-12,1
3,164,1,4999.99999999999,-5.45696821063757e-12,1
3,165,2,5000,-3.63797880709171e-12,1
3,166,1,5000,9.09494701772928e-13,1
3,167,2,5000,0,1
3,168,1,5000,9.09494701772928e-13,1
3,169,1,5000,-1.81898940354586e-12,1
3,170,1,4728.58759313997,-271.412406860032,0
3,171,1,5000,-2.72848410531878e-12,1
3,172,1,5000,-2.72848410531878e-12,1
3,173,1,4540.804961644,-459.195038356004,0
3,174,3,4999.99999999999,-5.45696821063757e-12,1
3,175,2,5000.00000000001,7.27595761418343e-12,1
3,176,3,5000,-3.63797880709171e-12,1
3,177,1,5000,2.72848410531878e-12,1
3,178,1,5000,1.81898940354586e-12,1
3,179,2,5000,2.72848410531878e-12,1
3,180,1,5000,-9.09494701772928e-13,1
3,181,1,5000.00000000001,6.3664629124105e-12,1
3,182,1,4620.62460134513,-379.375398654874,0
3,183,3,5000,4.54747350886464e-12,1
3,184,2,5000,1.81898940354586e-12,1
3,185,1,5000,-1.81898940354586e-12,1
3,186,2,5000.00000000001,6.3664629124105e-12,1
3,187,2,5000,2.72848410531878e-12,1
3,188,1,5000,4.54747350886464e-12,1
3,189,3,5000,0,1
3,190,1,5000,-9.09494701772928e-13,1
3,191,2,5000,0,1
3,192,1,4587.0763405977,-412.923659402301,0
3,193,1,5000,2.72848410531878e-12,1
