Group,Model,ParentA,ParentB,PieceA,PieceB,AxisDistance,CapsuleDistance,ExactDistance,CapsuleConnected,ExactConnected
1,M0,1,4,1,4,34.6436549215185,-25.3563450784815,0,1,1
1,M0,9,10,9,10,53.7473984804571,-6.25260151954289,0,1,1
1,M1,1,4,1,4,34.6436549215185,-25.3563450784815,0,1,1
1,M1,3,2,9,10,53.7473984804571,-6.25260151954289,0,1,1
1,M2,1,4,1,4,34.6436549215185,-25.3563450784815,0,1,1
1,M2,3,2,9,10,53.7473984804571,-6.25260151954289,0,1,1
2,M0,2,11,2,11,23.430510427187,-36.569489572813,0,1,1
2,M0,2,12,2,12,55.8323230913113,-4.16767690868873,0,1,1
2,M0,3,6,3,6,27.9212035368755,-32.0787964631245,0,1,1
2,M0,3,16,3,16,30.4771678908693,-29.5228321091307,0,1,1
2,M0,4,5,4,5,29.5699198660844,-30.4300801339156,0,1,1
2,M0,11,12,11,12,26.6157494968832,-33.3842505031168,0,1,1
2,M0,12,24,12,24,1.4411345697131,-58.5588654302869,0,1,1
2,M0,14,15,14,15,21.4392557237657,-38.5607442762343,0,1,1
2,M0,14,17,14,17,57.414694179531,-2.585305820469,0,1,1
2,M0,14,34,14,34,34.9110144444014,-25.0889855555986,0,1,1
2,M0,18,30,18,30,49.3505463836259,-10.6494536163741,0,1,1
2,M0,19,21,19,21,44.8020536405113,-15.1979463594887,0,1,1
2,M0,23,29,23,29,8.99209623152933,-51.0079037684707,0,1,1
2,M0,23,30,23,30,54.2663840328638,-5.73361596713618,0,1,1
2,M0,23,35,23,35,35.4269783854264,-24.5730216145736,0,1,1
2,M0,24,39,24,39,49.073000222078,-10.926999777922,0,1,1
2,M0,26,33,26,33,9.35898192112835,-50.6410180788717,0,1,1
2,M0,26,36,26,36,40.8874122736386,-19.1125877263614,0,1,1
2,M0,27,38,27,38,36.2265647214483,-23.7734352785517,0,1,1
2,M0,33,34,33,34,33.2951496643673,-26.7048503356327,0,1,1
2,M0,33,38,33,38,19.5693999700996,-40.4306000299004,0,1,1
2,M0,34,36,34,36,21.5837506657066,-38.4162493342934,0,1,1
2,M0,34,43,34,43,58.3628222923124,-1.63717770768763,0,1,1
2,M0,40,41,40,41,22.3994888619872,-37.6005111380128,0,1,1
2,M0,41,44,41,44,45.7677641130833,-14.2322358869167,0,1,1
2,M0,44,48,44,48,51.2703861960965,-8.7296138039035,0,1,1
2,M0,45,46,45,46,38.8426042996634,-21.1573957003366,0,1,1
2,M1,2,11,2,11,23.430510427187,-36.569489572813,0,1,1
2,M1,2,12,2,12,55.8323230913113,-4.16767690868873,0,1,1
2,M1,3,6,3,6,27.9212035368755,-32.0787964631245,0,1,1
2,M1,3,16,3,16,30.4771678908693,-29.5228321091307,0,1,1
2,M1,4,5,4,5,29.5699198660844,-30.4300801339156,0,1,1
2,M1,11,12,11,12,26.6157494968832,-33.3842505031168,0,1,1
2,M1,12,24,12,24,1.4411345697131,-58.5588654302869,0,1,1
2,M1,14,15,14,15,21.4392557237657,-38.5607442762343,0,1,1
2,M1,14,17,14,17,57.414694179531,-2.585305820469,0,1,1
2,M1,14,34,14,34,34.9110144444014,-25.0889855555986,0,1,1
2,M1,18,30,18,30,49.3505463836259,-10.6494536163741,0,1,1
2,M1,19,21,19,21,44.8020536405113,-15.1979463594887,0,1,1
2,M1,23,29,23,29,8.99209623152933,-51.0079037684707,0,1,1
2,M1,23,30,23,30,54.2663840328638,-5.73361596713618,0,1,1
2,M1,23,35,23,35,35.4269783854264,-24.5730216145736,0,1,1
2,M1,24,10,24,39,49.073000222078,-10.926999777922,0,1,1
2,M1,26,33,26,33,9.35898192112835,-50.6410180788717,0,1,1
2,M1,26,36,26,36,40.8874122736386,-19.1125877263614,0,1,1
2,M1,27,7,27,38,36.2265647214483,-23.7734352785517,0,1,1
2,M1,33,34,33,34,33.2951496643673,-26.7048503356327,0,1,1
2,M1,33,7,33,38,19.5693999700996,-40.4306000299004,0,1,1
2,M1,34,36,34,36,21.5837506657066,-38.4162493342934,0,1,1
2,M1,34,3,34,43,58.3628222923124,-1.63717770768763,0,1,1
2,M1,38,39,40,41,22.3994888619872,-37.6005111380128,0,1,1
2,M1,39,11,41,44,45.7677641130833,-14.2322358869167,0,1,1
2,M1,11,9,44,48,51.2703861960965,-8.7296138039035,0,1,1
2,M1,4,5,45,46,38.8426042996634,-21.1573957003366,0,1,1
2,M2,2,11,2,11,23.430510427187,-36.569489572813,0,1,1
2,M2,2,12,2,12,55.8323230913113,-4.16767690868873,0,1,1
2,M2,3,6,3,6,27.9212035368755,-32.0787964631245,0,1,1
2,M2,3,15,3,16,30.4771678908693,-29.5228321091307,0,1,1
2,M2,4,5,4,5,29.5699198660844,-30.4300801339156,0,1,1
2,M2,11,12,11,12,26.6157494968832,-33.3842505031168,0,1,1
2,M2,12,21,12,24,1.4411345697131,-58.5588654302869,0,1,1
2,M2,14,8,14,15,21.4392557237657,-38.5607442762343,0,1,1
2,M2,14,1,14,17,57.414694179531,-2.585305820469,0,1,1
2,M2,14,28,14,34,34.9110144444014,-25.0889855555986,0,1,1
2,M2,16,13,18,30,49.3505463836259,-10.6494536163741,0,1,1
2,M2,17,18,19,21,44.8020536405113,-15.1979463594887,0,1,1
2,M2,20,24,23,29,8.99209623152933,-51.0079037684707,0,1,1
2,M2,20,13,23,30,54.2663840328638,-5.73361596713618,0,1,1
2,M2,20,17,23,35,35.4269783854264,-24.5730216145736,0,1,1
2,M2,21,10,24,39,49.073000222078,-10.926999777922,0,1,1
2,M2,23,27,26,33,9.35898192112835,-50.6410180788717,0,1,1
2,M2,23,26,26,36,40.8874122736386,-19.1125877263614,0,1,1
2,M2,19,7,27,38,36.2265647214483,-23.7734352785517,0,1,1
2,M2,27,28,33,34,33.2951496643673,-26.7048503356327,0,1,1
2,M2,27,7,33,38,19.5693999700996,-40.4306000299004,0,1,1
