Group,RecordA,RecordB,TranslationX,TranslationY,TranslationZ,DirectionError,EndpointError,BoundaryDescription
1,1,12,-10000,0,0,6.69018773335692e-16,0,XMin(A)<->XMax(B)
1,2,10,-10000,0,0,2.64042920728464e-16,0,XMin(A)<->XMax(B)
1,3,9,-10000,0,0,5.12081437849952e-16,0,XMin(A)<->XMax(B)
2,1,47,-10000,0,0,1.18311702023961e-15,0,XMin(A)<->XMax(B)
2,2,49,-10000,0,0,9.31467358497575e-16,0,XMin(A)<->XMax(B)
2,3,43,-10000,0,0,2.74152176864806e-16,0,XMin(A)<->XMax(B)
2,4,45,-10000,0,0,1.8253379971364e-16,0,XMin(A)<->XMax(B)
2,5,46,-10000,0,0,4.91242325163173e-16,0,XMin(A)<->XMax(B)
2,6,42,-10000,0,0,8.38429740468061e-17,0,XMin(A)<->XMax(B)
2,7,38,-10000,0,0,6.49296592341563e-16,0,XMin(A)<->XMax(B)
2,9,48,-10000,0,0,7.58722914097989e-16,0,XMin(A)<->XMax(B)
2,10,39,-10000,0,0,8.70755589874297e-16,0,XMin(A)<->XMax(B)
2,11,44,-10000,0,0,6.19701888742333e-16,0,XMin(A)<->XMax(B)
3,2,505,-10000,0,0,3.84282559971594e-15,0,XMin(A)<->XMax(B)
3,4,488,-10000,0,0,2.8947082758095e-15,0,XMin(A)<->XMax(B)
3,5,535,-10000,0,0,1.71658754944584e-16,0,XMin(A)<->XMax(B)
3,6,485,-10000,0,0,7.88771363208571e-15,0,XMin(A)<->XMax(B)
3,7,452,-10000,0,0,2.96547413870281e-15,0,XMin(A)<->XMax(B)
3,8,450,-10000,0,0,5.37530990582533e-15,0,XMin(A)<->XMax(B)
3,9,532,-10000,0,0,1.21842867287827e-14,0,XMin(A)<->XMax(B)
3,10,525,-10000,0,0,1.02714030263545e-14,0,XMin(A)<->XMax(B)
3,11,99,0,-10000,0,5.99294540385235e-15,0,YMin(A)<->YMax(B)
3,11,524,-10000,0,0,1.27268186138242e-15,0,XMin(A)<->XMax(B)
3,12,470,-10000,0,0,4.71223958291671e-15,0,XMin(A)<->XMax(B)
3,14,490,-10000,0,0,1.98259693553951e-15,0,XMin(A)<->XMax(B)
3,15,393,-10000,0,0,7.0015743247822e-15,0,XMin(A)<->XMax(B)
3,16,456,-10000,0,0,3.17000578988295e-15,0,XMin(A)<->XMax(B)
3,17,398,-10000,0,0,1.07194030950426e-14,0,XMin(A)<->XMax(B)
3,18,462,-10000,0,0,1.98680296305801e-15,0,XMin(A)<->XMax(B)
3,19,486,-10000,0,0,5.02092148913436e-15,0,XMin(A)<->XMax(B)
3,20,443,-10000,0,0,3.0006845345686e-15,0,XMin(A)<->XMax(B)
3,21,477,-10000,0,0,3.36753750488239e-15,0,XMin(A)<->XMax(B)
3,22,480,-10000,0,0,1.33688555545767e-15,0,XMin(A)<->XMax(B)
3,23,520,-10000,0,0,3.32001238818728e-15,0,XMin(A)<->XMax(B)
3,24,533,-10000,0,0,7.2232785706619e-15,0,XMin(A)<->XMax(B)
3,25,521,-10000,0,0,6.87352694413517e-15,0,XMin(A)<->XMax(B)
3,26,534,-10000,0,0,7.99153347786634e-15,0,XMin(A)<->XMax(B)
3,27,464,-10000,0,0,4.31132637123079e-15,0,XMin(A)<->XMax(B)
3,28,512,-10000,0,0,7.24952044582375e-15,0,XMin(A)<->XMax(B)
3,29,504,-10000,0,0,3.22920347622912e-15,0,XMin(A)<->XMax(B)
3,30,381,-10000,0,0,4.91712563616564e-15,0,XMin(A)<->XMax(B)
3,31,529,-10000,0,0,2.43743896178873e-15,0,XMin(A)<->XMax(B)
3,32,509,-10000,0,0,6.77560161685643e-15,0,XMin(A)<->XMax(B)
3,33,491,-10000,0,0,1.84786079886e-15,0,XMin(A)<->XMax(B)
3,34,506,-10000,0,0,2.66120829539906e-15,0,XMin(A)<->XMax(B)
3,35,482,-10000,0,0,2.02867733640006e-15,0,XMin(A)<->XMax(B)
3,36,530,-10000,0,0,8.10994931998973e-15,0,XMin(A)<->XMax(B)
3,37,142,0,0,10000,1.02667964244591e-14,0,ZMax(A)<->ZMin(B)
3,37,471,-10000,0,0,1.22385487490929e-14,0,XMin(A)<->XMax(B)
3,38,428,-10000,0,0,1.39821518685703e-14,0,XMin(A)<->XMax(B)
3,39,133,0,0,10000,6.53854443110128e-15,0,ZMax(A)<->ZMin(B)
3,39,528,-10000,0,0,1.60653721700827e-14,0,XMin(A)<->XMax(B)
3,40,454,-10000,0,0,2.6492039012393e-15,0,XMin(A)<->XMax(B)
3,41,516,-10000,0,0,9.12025419143507e-15,0,XMin(A)<->XMax(B)
3,42,403,-10000,0,0,6.16500417879599e-15,0,XMin(A)<->XMax(B)
3,43,419,-10000,0,0,5.09713595559151e-15,0,XMin(A)<->XMax(B)
3,44,445,-10000,0,0,6.80736260073534e-15,0,XMin(A)<->XMax(B)
3,45,466,-10000,0,0,1.30307296216848e-15,0,XMin(A)<->XMax(B)
3,46,402,-10000,0,0,3.93762665159434e-15,0,XMin(A)<->XMax(B)
3,47,416,-10000,0,0,1.74569926022845e-15,0,XMin(A)<->XMax(B)
3,48,169,0,0,10000,4.38347013930254e-15,0,ZMax(A)<->ZMin(B)
3,48,481,-10000,0,0,3.43452117818233e-15,0,XMin(A)<->XMax(B)
3,50,498,-10000,0,0,4.99556027292099e-15,0,XMin(A)<->XMax(B)
3,51,472,-10000,0,0,4.78906391720827e-15,0,XMin(A)<->XMax(B)
3,53,500,-10000,0,0,9.74216750314852e-16,0,XMin(A)<->XMax(B)
3,54,447,-10000,0,0,6.20070445828634e-15,0,XMin(A)<->XMax(B)
3,55,479,-10000,0,0,2.09715369513126e-15,0,XMin(A)<->XMax(B)
3,56,110,0,0,-10000,8.68542211977686e-15,0,ZMin(A)<->ZMax(B)
3,56,435,-10000,0,0,5.43357485229371e-15,0,XMin(A)<->XMax(B)
3,57,502,-10000,0,0,5.17506131199619e-15,0,XMin(A)<->XMax(B)
3,58,429,-10000,0,0,5.85504509035522e-16,0,XMin(A)<->XMax(B)
3,59,499,-10000,0,0,8.02515403841628e-16,0,XMin(A)<->XMax(B)
3,60,531,-10000,0,0,6.20633538311818e-16,0,XMin(A)<->XMax(B)
3,61,507,-10000,0,0,1.79983726110427e-15,0,XMin(A)<->XMax(B)
3,62,461,-10000,0,0,4.15647530121038e-15,0,XMin(A)<->XMax(B)
3,65,497,-10000,0,0,4.21482832473968e-15,0,XMin(A)<->XMax(B)
3,66,444,-10000,0,0,6.55031584528842e-15,0,XMin(A)<->XMax(B)
3,68,517,-10000,0,0,2.04380758790584e-15,0,XMin(A)<->XMax(B)
3,69,374,-10000,0,0,3.3184449625996e-15,0,XMin(A)<->XMax(B)
3,70,522,-10000,0,0,1.37439153426344e-15,0,XMin(A)<->XMax(B)
3,71,478,-10000,0,0,7.57986425346523e-15,0,XMin(A)<->XMax(B)
3,72,489,-10000,0,0,6.75345116003668e-15,0,XMin(A)<->XMax(B)
3,74,386,-10000,0,0,9.46416290442973e-15,0,XMin(A)<->XMax(B)
3,75,515,-10000,0,0,4.44262648329571e-15,0,XMin(A)<->XMax(B)
3,76,209,0,0,-10000,3.44627694491421e-15,0,ZMin(A)<->ZMax(B)
3,76,519,-10000,0,0,5.728837542583e-15,0,XMin(A)<->XMax(B)
3,77,523,-10000,0,0,9.32143486600945e-15,0,XMin(A)<->XMax(B)
3,78,388,-10000,0,0,6.01015571054106e-15,0,XMin(A)<->XMax(B)
3,79,501,-10000,0,0,4.36989480246245e-15,0,XMin(A)<->XMax(B)
3,80,441,-10000,0,0,4.5725152242795e-15,0,XMin(A)<->XMax(B)
3,81,139,0,10000,0,2.29751796327614e-15,0,YMax(A)<->YMin(B)
3,81,510,-10000,0,0,3.05563551006813e-15,0,XMin(A)<->XMax(B)
3,82,459,-10000,0,0,1.00486300678385e-14,0,XMin(A)<->XMax(B)
3,83,463,-10000,0,0,6.0619092156604e-16,0,XMin(A)<->XMax(B)
3,84,514,-10000,0,0,1.05306981208247e-14,0,XMin(A)<->XMax(B)
3,85,146,0,10000,0,4.05079290092437e-15,0,YMax(A)<->YMin(B)
3,85,508,-10000,0,0,6.80504227222743e-15,0,XMin(A)<->XMax(B)
3,86,511,-10000,0,0,5.20148669696962e-15,0,XMin(A)<->XMax(B)
3,87,527,-10000,0,0,5.31895977650378e-15,0,XMin(A)<->XMax(B)
3,88,134,0,0,-10000,1.87509405270065e-15,0,ZMin(A)<->ZMax(B)
3,88,496,-10000,0,0,3.64349419111275e-15,0,XMin(A)<->XMax(B)
3,89,469,-10000,0,0,1.36454720337318e-15,0,XMin(A)<->XMax(B)
3,90,422,-10000,0,0,4.47218037275696e-15,0,XMin(A)<->XMax(B)
3,91,124,0,10000,0,1.50882638045025e-14,0,YMax(A)<->YMin(B)
3,91,526,-10000,0,0,2.08482667245536e-14,0,XMin(A)<->XMax(B)
3,92,140,0,0,10000,2.00090558707606e-15,0,ZMax(A)<->ZMin(B)
3,96,121,0,0,-10000,3.09272347224979e-15,0,ZMin(A)<->ZMax(B)
3,104,135,0,10000,0,5.10581900650871e-15,0,YMax(A)<->YMin(B)
3,105,258,0,0,-10000,2.66832726842214e-15,0,ZMin(A)<->ZMax(B)
3,112,132,0,0,-10000,5.47172153380142e-15,0,ZMin(A)<->ZMax(B)
3,123,129,0,-10000,0,1.66486739712358e-14,0,YMin(A)<->YMax(B)
3,127,143,0,10000,0,1.86236603191934e-15,0,YMax(A)<->YMin(B)
3,129,130,0,0,-10000,1.5000676992943e-14,0,ZMin(A)<->ZMax(B)
3,138,187,0,0,-10000,1.31242496837824e-14,0,ZMin(A)<->ZMax(B)
3,145,173,0,0,-10000,2.94418503047924e-15,0,ZMin(A)<->ZMax(B)
3,147,349,0,0,10000,4.91054103696384e-15,0,ZMax(A)<->ZMin(B)
3,150,227,0,10000,0,2.91473192089444e-15,0,YMax(A)<->YMin(B)
3,152,189,0,10000,0,3.51959960823653e-15,0,YMax(A)<->YMin(B)
3,153,162,0,10000,0,3.39299850214661e-15,0,YMax(A)<->YMin(B)
3,156,290,0,0,10000,4.14553471578229e-15,0,ZMax(A)<->ZMin(B)
3,163,272,0,-10000,0,2.64247073898092e-15,0,YMin(A)<->YMax(B)
3,165,239,0,0,10000,3.71095263703897e-15,0,ZMax(A)<->ZMin(B)
3,166,361,0,-10000,0,5.45812265344121e-15,0,YMin(A)<->YMax(B)
3,167,179,0,0,10000,9.86428627759075e-15,0,ZMax(A)<->ZMin(B)
3,174,218,0,0,10000,4.29126691738617e-15,0,ZMax(A)<->ZMin(B)
3,177,243,0,0,10000,3.83318467226914e-15,0,ZMax(A)<->ZMin(B)
3,182,246,0,10000,0,5.66104886700368e-16,0,YMax(A)<->YMin(B)
3,185,195,0,0,-10000,4.93268978807816e-15,0,ZMin(A)<->ZMax(B)
3,188,366,0,0,10000,2.78141474678069e-15,0,ZMax(A)<->ZMin(B)
3,197,199,0,-10000,0,3.49075375347554e-15,0,YMin(A)<->YMax(B)
