RecordID,OriginalExcelRow,x1,y1,z1,x2,y2,z2,SegmentLength,ux,uy,uz,DirectionFamily,TouchXMin,TouchXMax,TouchYMin,TouchYMax,TouchZMin,TouchZMax
1,3,-5000,-123.595139885209,-413.21077078022,-2588.09423943591,263.800242732266,-256.916004757901,2447.81384794709,0.985330548148865,0.158261782423681,0.0638507565243977,1,1,0,0,0,0,0
2,4,-5000,260.638630130799,-45.5355334223004,-2697.57508248102,420.228820486022,141.734026660795,2315.53436981696,0.994338476479184,0.0689215381276498,0.080875310046855,2,1,0,0,0,0,0
3,5,-5000,273.505296679324,-144.677940130256,-3939.15969626586,318.937665072886,-118.26517904821,1062.14117897414,0.998775233212168,0.0427743216183772,0.0248674673432364,3,1,0,0,0,0,0
4,6,-4192.3186063671,261.813019412782,-199.977019550071,806.624526775099,321.530792400596,-283.651025070759,5000,0.999788626628439,0.0119435545975628,-0.0167348011041376,4,0,0,0,0,0,0
5,7,-2777.97743793496,-159.004834417892,-249.729794262883,2215.33209763938,97.7058633389306,-280.705584803122,5000,0.998661907114868,0.0513421395513645,-0.0061951581080478,5,0,0,0,0,0,0
6,8,-2262.03951829238,-250.253829283375,441.667836947413,-843.854487636523,-277.554922291578,500,1419.64670679088,0.9989703944453,-0.0192309064484905,0.0410892109801369,6,0,0,0,0,0,0
7,9,-843.854487636523,-277.554922291578,-500,2732.81245393412,-346.408361525829,-352.886108151902,3580.35329320912,0.998970394445301,-0.0192309064484909,0.0410892109801371,6,0,0,0,0,0,0
8,10,577.038075568308,-500,-306.636481677966,5000,-472.318119184751,-258.403555236408,4423.31152946422,0.999920963054445,0.00625818024139982,0.010904257165762,7,0,1,0,0,0,0
9,11,1066.9641376733,105.066056981001,-242.602515764394,5000,273.505296679324,-144.677940130256,3937.85882102586,0.998775233212168,0.042774321618377,0.0248674673432369,3,0,1,0,0,0,0
10,12,2330.73253512306,75.6211298477722,-262.64252357348,5000,260.638630130799,-45.5355334223004,2684.46563018304,0.994338476479184,0.06892153812765,0.0808753100468549,2,0,1,0,0,0,0
11,13,2656.52072494725,-500,434.928592307143,3660.68808804375,-338.712686789317,500,1019.11725459342,0.985330548148864,0.158261782423681,0.0638507565243976,1,0,0,0,0,0,0
12,14,3660.68808804375,-338.712686789317,-500,5000,-123.595139885209,-413.21077078022,1359.25138469766,0.985330548148864,0.158261782423681,0.0638507565243971,1,0,1,0,0,0,0
